Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.108792,0.124030,0.108689,0.115928,0.115928,126982939
2021-08-23,0.115742,0.123168,0.113700,0.115692,0.115692,68867750
2021-08-24,0.115725,0.118573,0.104329,0.106877,0.106877,79948055
2021-08-25,0.106670,0.112837,0.103010,0.109370,0.109370,51565581
2021-08-26,0.109441,0.110767,0.098219,0.099178,0.099178,51373809
2021-08-27,0.098880,0.105403,0.094931,0.105224,0.105224,48957117
2021-08-28,0.105287,0.105588,0.099471,0.100152,0.100152,29616119
2021-08-29,0.100343,0.102847,0.097080,0.101275,0.101275,32218105
2021-08-30,0.101339,0.128370,0.096629,0.114885,0.114885,200926207
2021-08-31,0.115327,0.135519,0.114415,0.118883,0.118883,296529900
2021-09-01,0.118635,0.125606,0.115296,0.122634,0.122634,86340728
2021-09-02,0.122600,0.125489,0.119006,0.119482,0.119482,51796134
2021-09-03,0.119349,0.126413,0.116832,0.121967,0.121967,56556763
2021-09-04,0.121849,0.130660,0.120479,0.124419,0.124419,59024600
2021-09-05,0.124319,0.133536,0.124319,0.132631,0.132631,78657188
2021-09-06,0.132465,0.133930,0.124526,0.130197,0.130197,66441691
2021-09-07,0.130193,0.157514,0.099200,0.119426,0.119426,392218314
2021-09-08,0.119415,0.154285,0.116861,0.141660,0.141660,447137288
2021-09-09,0.138284,0.206724,0.137453,0.200258,0.200258,676859342
2021-09-10,0.200065,0.209135,0.160603,0.172310,0.172310,404903164
2021-09-11,0.171951,0.209132,0.167200,0.179396,0.179396,316708235
2021-09-12,0.179287,0.221460,0.176091,0.216837,0.216837,386518689
2021-09-13,0.216511,0.229039,0.174312,0.184161,0.184161,344284022
2021-09-14,0.184186,0.188378,0.166958,0.171909,0.171909,176268935
2021-09-15,0.172061,0.180030,0.168159,0.172780,0.172780,154657048
2021-09-16,0.172860,0.179075,0.157315,0.163785,0.163785,145459233
2021-09-17,0.163537,0.164470,0.149254,0.152849,0.152849,109432977
2021-09-18,0.152873,0.175911,0.149209,0.166328,0.166328,173523681
2021-09-19,0.165940,0.168844,0.153196,0.156552,0.156552,84281682
2021-09-20,0.156627,0.157075,0.120785,0.126488,0.126488,183384191
2021-09-21,0.128024,0.146030,0.118322,0.120832,0.120832,181793561
2021-09-22,0.120685,0.139531,0.118385,0.136965,0.136965,162180410
2021-09-23,0.136740,0.159482,0.129694,0.158687,0.158687,217972705
2021-09-24,0.158947,0.158947,0.127955,0.150424,0.150424,239804149
2021-09-25,0.150674,0.177127,0.148464,0.162593,0.162593,390242269
2021-09-26,0.162373,0.182409,0.148215,0.177549,0.177549,315617693
2021-09-27,0.178318,0.180263,0.157133,0.158389,0.158389,171279631
2021-09-28,0.157606,0.162873,0.144981,0.146101,0.146101,135764744
2021-09-29,0.146152,0.157817,0.140232,0.144376,0.144376,95029799
2021-09-30,0.144101,0.154530,0.143010,0.150074,0.150074,98017716
2021-10-01,0.150561,0.161950,0.147079,0.159418,0.159418,114725434
2021-10-02,0.159477,0.172662,0.154451,0.163543,0.163543,124135788
2021-10-03,0.163419,0.184805,0.159926,0.180468,0.180468,193950539
2021-10-04,0.180924,0.188291,0.166527,0.177175,0.177175,236184407
2021-10-05,0.177241,0.185470,0.171492,0.175370,0.175370,127532360
2021-10-06,0.175166,0.176089,0.159583,0.168234,0.168234,132696010
2021-10-07,0.168125,0.181382,0.162595,0.176179,0.176179,154965046
2021-10-08,0.176362,0.246223,0.174158,0.228266,0.228266,859880196
2021-10-09,0.227826,0.247283,0.208629,0.219039,0.219039,389093474
2021-10-10,0.219143,0.265463,0.205225,0.254374,0.254374,665798804
2021-10-11,0.255172,0.264616,0.226106,0.234066,0.234066,364555250
2021-10-12,0.234084,0.239031,0.206911,0.236847,0.236847,298150015
2021-10-13,0.236685,0.253486,0.217734,0.223058,0.223058,377516225
2021-10-14,0.222965,0.236162,0.219624,0.221712,0.221712,194908147
2021-10-15,0.222245,0.226564,0.209953,0.216790,0.216790,177463485
2021-10-16,0.217126,0.229536,0.213894,0.217052,0.217052,128904820
2021-10-17,0.217106,0.239179,0.215307,0.228537,0.228537,238271546
2021-10-18,0.228768,0.235708,0.216793,0.223628,0.223628,128834062
2021-10-19,0.223304,0.243487,0.220019,0.234017,0.234017,227511240
2021-10-20,0.233439,0.253924,0.232636,0.253732,0.253732,214823822
2021-10-21,0.254130,0.263703,0.237703,0.238856,0.238856,204202791
2021-10-22,0.239356,0.269952,0.239302,0.267931,0.267931,256161043
2021-10-23,0.268334,0.278842,0.260833,0.269711,0.269711,272152902
2021-10-24,0.269766,0.319835,0.266324,0.291170,0.291170,726957786
2021-10-25,0.290382,0.353183,0.288146,0.345671,0.345671,618480567
2021-10-26,0.344576,0.379832,0.331144,0.345986,0.345986,649314242
2021-10-27,0.345830,0.360600,0.288382,0.311448,0.311448,534510400
2021-10-28,0.311132,0.376356,0.308356,0.341871,0.341871,543057125
2021-10-29,0.341816,0.344667,0.322569,0.325074,0.325074,244359321
2021-10-30,0.324570,0.345885,0.299596,0.307118,0.307118,265341057
2021-10-31,0.307140,0.310384,0.285696,0.303311,0.303311,242870731
2021-11-01,0.303998,0.314544,0.285353,0.289788,0.289788,204471020
2021-11-02,0.289825,0.304917,0.281596,0.288382,0.288382,215000344
2021-11-03,0.288611,0.314417,0.284073,0.298454,0.298454,269927570
2021-11-04,0.299136,0.299136,0.277696,0.281030,0.281030,164424568
2021-11-05,0.281260,0.305370,0.280553,0.284383,0.284383,176350155
