Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.000621,0.000649,0.000608,0.000619,0.000619,481736
2021-08-23,0.000620,0.000662,0.000613,0.000659,0.000659,355067
2021-08-24,0.000660,0.000713,0.000639,0.000648,0.000648,843194
2021-08-25,0.000645,0.000687,0.000636,0.000663,0.000663,383427
2021-08-26,0.000663,0.000670,0.000622,0.000630,0.000630,506254
2021-08-27,0.000630,0.000661,0.000621,0.000650,0.000650,206363
2021-08-28,0.000650,0.000654,0.000634,0.000640,0.000640,190440
2021-08-29,0.000640,0.000649,0.000627,0.000644,0.000644,149157
2021-08-30,0.000644,0.000677,0.000618,0.000622,0.000622,367268
2021-08-31,0.000623,0.000660,0.000619,0.000643,0.000643,282846
2021-09-01,0.000642,0.000674,0.000629,0.000657,0.000657,246882
2021-09-02,0.000658,0.000674,0.000650,0.000657,0.000657,166770
2021-09-03,0.000656,0.000693,0.000641,0.000665,0.000665,383008
2021-09-04,0.000668,0.001009,0.000651,0.000778,0.000778,8273423
2021-09-05,0.000770,0.000799,0.000702,0.000713,0.000713,2164879
2021-09-06,0.000713,0.000887,0.000705,0.000791,0.000791,4282624
2021-09-07,0.000788,0.000842,0.000631,0.000681,0.000681,2652714
2021-09-08,0.000681,0.000703,0.000611,0.000646,0.000646,822355
2021-09-09,0.000631,0.000683,0.000621,0.000643,0.000643,435855
2021-09-10,0.000643,0.000656,0.000606,0.000620,0.000620,540322
2021-09-11,0.000620,0.000650,0.000607,0.000619,0.000619,227007
2021-09-12,0.000620,0.000850,0.000606,0.000687,0.000687,4086996
2021-09-13,0.000684,0.000685,0.000630,0.000643,0.000643,766030
2021-09-14,0.000643,0.000676,0.000638,0.000647,0.000647,430482
2021-09-15,0.000645,0.000695,0.000643,0.000673,0.000673,450126
2021-09-16,0.000673,0.000677,0.000645,0.000650,0.000650,261883
2021-09-17,0.000650,0.000661,0.000631,0.000640,0.000640,248828
2021-09-18,0.000640,0.000664,0.000635,0.000656,0.000656,196721
2021-09-19,0.000656,0.000657,0.000631,0.000632,0.000632,113784
2021-09-20,0.000632,0.000634,0.000561,0.000563,0.000563,304522
2021-09-21,0.000563,0.000573,0.000497,0.000514,0.000514,297815
2021-09-22,0.000515,0.000564,0.000506,0.000554,0.000554,487048
2021-09-23,0.000552,0.000573,0.000540,0.000564,0.000564,231420
2021-09-24,0.000564,0.000576,0.000486,0.000501,0.000501,366155
2021-09-25,0.000504,0.000513,0.000453,0.000461,0.000461,352281
2021-09-26,0.000460,0.000465,0.000317,0.000320,0.000320,830930
2021-09-27,0.000319,0.000449,0.000313,0.000347,0.000347,1350644
2021-09-28,0.000347,0.000367,0.000326,0.000326,0.000326,482846
2021-09-29,0.000327,0.000358,0.000326,0.000343,0.000343,213982
2021-09-30,0.000343,0.000377,0.000337,0.000357,0.000357,267600
2021-10-01,0.000357,0.000390,0.000357,0.000381,0.000381,294748
2021-10-02,0.000381,0.000388,0.000364,0.000369,0.000369,315224
2021-10-03,0.000368,0.000397,0.000359,0.000395,0.000395,400165
2021-10-04,0.000395,0.000460,0.000388,0.000401,0.000401,1221832
2021-10-05,0.000400,0.000519,0.000381,0.000424,0.000424,2311165
2021-10-06,0.000425,0.000444,0.000388,0.000406,0.000406,724615
2021-10-07,0.000406,0.000429,0.000394,0.000403,0.000403,429114
2021-10-08,0.000403,0.000426,0.000401,0.000406,0.000406,264404
2021-10-09,0.000405,0.000413,0.000400,0.000404,0.000404,170315
2021-10-10,0.000404,0.000406,0.000383,0.000387,0.000387,192573
2021-10-11,0.000386,0.000393,0.000367,0.000372,0.000372,219351
2021-10-12,0.000372,0.000377,0.000350,0.000352,0.000352,203028
2021-10-13,0.000352,0.000363,0.000333,0.000345,0.000345,183054
2021-10-14,0.000345,0.000369,0.000345,0.000362,0.000362,160103
2021-10-15,0.000362,0.000495,0.000358,0.000391,0.000391,5072942
2021-10-16,0.000391,0.000486,0.000383,0.000416,0.000416,2282441
2021-10-17,0.000413,0.000431,0.000395,0.000404,0.000404,490725
2021-10-18,0.000404,0.000435,0.000390,0.000396,0.000396,476017
2021-10-19,0.000396,0.000429,0.000392,0.000397,0.000397,552213
2021-10-20,0.000397,0.000486,0.000393,0.000422,0.000422,2207021
2021-10-21,0.000422,0.000426,0.000411,0.000418,0.000418,288580
2021-10-22,0.000418,0.000432,0.000409,0.000426,0.000426,244209
2021-10-23,0.000426,0.000432,0.000415,0.000418,0.000418,219788
2021-10-24,0.000418,0.000473,0.000407,0.000417,0.000417,690349
2021-10-25,0.000416,0.000431,0.000403,0.000419,0.000419,277151
2021-10-26,0.000421,0.000426,0.000412,0.000413,0.000413,161624
2021-10-27,0.000413,0.000416,0.000360,0.000366,0.000366,386727
2021-10-28,0.000364,0.000392,0.000355,0.000377,0.000377,383753
2021-10-29,0.000379,0.000402,0.000376,0.000385,0.000385,150677
2021-10-30,0.000385,0.000420,0.000381,0.000403,0.000403,305915
2021-10-31,0.000401,0.000429,0.000400,0.000415,0.000415,329986
2021-11-01,0.000415,0.000430,0.000410,0.000421,0.000421,236785
2021-11-02,0.000421,0.000429,0.000402,0.000425,0.000425,364783
2021-11-03,0.000425,0.000450,0.000424,0.000447,0.000447,572470
2021-11-04,0.000446,0.000500,0.000422,0.000443,0.000443,1488348
2021-11-05,0.000443,0.000592,0.000430,0.000437,0.000437,5204339
2021-11-06,0.000436,0.000457,0.000425,0.000436,0.000436,580945
2021-11-07,0.000436,0.000454,0.000433,0.000440,0.000440,256866
2021-11-08,0.000442,0.000448,0.000436,0.000437,0.000437,232876
2021-11-09,0.000437,0.000442,0.000419,0.000429,0.000429,312963
2021-11-10,0.000429,0.000434,0.000402,0.000408,0.000408,245703
2021-11-11,0.000408,0.000448,0.000405,0.000412,0.000412,738650
2021-11-12,0.000411,0.000429,0.000410,0.000416,0.000416,245693
2021-11-13,0.000416,0.000437,0.000409,0.000422,0.000422,249554
2021-11-14,0.000421,0.000442,0.000415,0.000440,0.000440,460654
2021-11-15,0.000440,0.000495,0.000432,0.000450,0.000450,731004
2021-11-16,0.000451,0.000452,0.000424,0.000435,0.000435,385141
2021-11-17,0.000435,0.000478,0.000424,0.000449,0.000449,314464
2021-11-18,0.000450,0.000475,0.000404,0.000408,0.000408,293209
2021-11-19,0.000409,0.000442,0.000404,0.000426,0.000426,220858
2021-11-20,0.000426,0.000443,0.000419,0.000439,0.000439,197067
2021-11-21,0.000439,0.000444,0.000429,0.000436,0.000436,155472
2021-11-22,0.000436,0.000436,0.000401,0.000406,0.000406,239814
2021-11-23,0.000404,0.000419,0.000392,0.000403,0.000403,346196
2021-11-24,0.000402,0.000411,0.000365,0.000406,0.000406,335636
2021-11-25,0.000370,0.000394,0.000366,0.000367,0.000367,310890
2021-11-26,0.000389,0.000390,0.000318,0.000324,0.000324,480636
2021-11-27,0.000324,0.000343,0.000322,0.000325,0.000325,214925
2021-11-28,0.000326,0.000338,0.000307,0.000332,0.000332,235445
2021-11-29,0.000332,0.000338,0.000325,0.000329,0.000329,109906
2021-11-30,0.000329,0.000348,0.000312,0.000330,0.000330,192855
2021-12-01,0.000330,0.000332,0.000278,0.000289,0.000289,240189
2021-12-02,0.000289,0.000289,0.000226,0.000232,0.000232,322458
