Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.047338,0.047421,0.043084,0.043499,0.043499,4935
2021-08-23,0.043504,0.045212,0.043484,0.044870,0.044870,2091
2021-08-24,0.044874,0.045534,0.042229,0.042973,0.042973,5722
2021-08-25,0.042967,0.051335,0.042893,0.049003,0.049003,26919
2021-08-26,0.049032,0.053595,0.048210,0.049323,0.049323,24252
2021-08-27,0.049388,0.049845,0.048215,0.048411,0.048411,2301
2021-08-28,0.048409,0.048626,0.042876,0.045416,0.045416,17655
2021-08-29,0.045452,0.047713,0.042196,0.047646,0.047646,15809
2021-08-30,0.047627,0.053217,0.047401,0.050587,0.050587,11409
2021-08-31,0.050571,0.053077,0.050068,0.052722,0.052722,4925
2021-09-01,0.052707,0.053503,0.050645,0.053503,0.053503,8101
2021-09-02,0.053511,0.053568,0.047204,0.049034,0.049034,8092
2021-09-03,0.049025,0.052457,0.048536,0.052457,0.052457,2684
2021-09-04,0.052456,0.052553,0.049146,0.049874,0.049874,3130
2021-09-05,0.049882,0.052963,0.049642,0.050779,0.050779,4984
2021-09-06,0.050781,0.051610,0.049682,0.051124,0.051124,926
2021-09-07,0.051109,0.051306,0.046105,0.047405,0.047405,1022
2021-09-08,0.047396,0.047408,0.044630,0.045815,0.045815,3055
2021-09-09,0.049429,0.052705,0.045139,0.049099,0.049099,28329
2021-09-10,0.049098,0.053722,0.049011,0.050590,0.050590,6788
2021-09-11,0.050595,0.051913,0.045445,0.045571,0.045571,28022
2021-09-12,0.045563,0.045650,0.041581,0.042739,0.042739,12664
2021-09-13,0.042737,0.042904,0.038091,0.039175,0.039175,3265
2021-09-14,0.039170,0.040985,0.039164,0.040961,0.040961,985
2021-09-15,0.040958,0.043667,0.040955,0.043450,0.043450,20468
2021-09-16,0.043460,0.053680,0.043215,0.051656,0.051656,30839
2021-09-17,0.051634,0.051791,0.044315,0.044640,0.044640,8795
2021-09-18,0.044651,0.045049,0.042783,0.043453,0.043453,6121
2021-09-19,0.043471,0.043774,0.037841,0.038007,0.038007,9597
2021-09-20,0.038009,0.038054,0.034862,0.035154,0.035154,3065
2021-09-21,0.035150,0.039970,0.034790,0.034816,0.034816,14490
2021-09-22,0.034815,0.035281,0.033187,0.033929,0.033929,5944
2021-09-23,0.033939,0.034532,0.033839,0.034441,0.034441,0
2021-09-24,0.034442,0.034487,0.029888,0.032547,0.032547,7011
2021-09-25,0.032551,0.032662,0.031606,0.031987,0.031987,2429
