Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,1.497100,1.537030,1.458876,1.499202,1.499202,35218689
2021-08-23,1.499410,1.746667,1.487272,1.661640,1.661640,93735359
2021-08-24,1.668478,1.671531,1.465706,1.506024,1.506024,56525386
2021-08-25,1.503879,1.621239,1.428805,1.581033,1.581033,62659417
2021-08-26,1.582430,1.607587,1.415243,1.424381,1.424381,47056351
2021-08-27,1.423450,1.550174,1.401419,1.550174,1.550174,42890001
2021-08-28,1.550071,1.554843,1.466110,1.489311,1.489311,35221627
2021-08-29,1.490299,1.515211,1.454207,1.484352,1.484352,35524366
2021-08-30,1.487307,1.487307,1.384822,1.389442,1.389442,42707703
2021-08-31,1.390342,1.450836,1.377255,1.418593,1.418593,35506355
2021-09-01,1.415485,1.477931,1.383344,1.476958,1.476958,38839452
2021-09-02,1.476027,1.501939,1.448542,1.454068,1.454068,38323603
2021-09-03,1.455799,1.495548,1.429027,1.449774,1.449774,44533658
2021-09-04,1.452653,1.563779,1.445751,1.510403,1.510403,62120879
2021-09-05,1.507219,1.575867,1.492191,1.575867,1.575867,63336359
2021-09-06,1.572885,1.597036,1.492747,1.579223,1.579223,61472930
2021-09-07,1.584168,1.584168,1.055318,1.253068,1.253068,74302002
2021-09-08,1.248961,1.313479,1.106486,1.224448,1.224448,44959855
2021-09-09,1.204789,1.292556,1.201601,1.250688,1.250688,31713213
2021-09-10,1.251560,1.287508,1.151668,1.181200,1.181200,28233385
2021-09-11,1.181280,1.228238,1.165456,1.189952,1.189952,20353796
2021-09-12,1.190822,1.225676,1.136075,1.199040,1.199040,35260095
2021-09-13,1.199106,1.223615,1.092106,1.130081,1.130081,28140634
2021-09-14,1.131889,1.214314,1.126068,1.182036,1.182036,26452738
2021-09-15,1.180993,1.217085,1.175164,1.214718,1.214718,24324129
2021-09-16,1.214876,1.265518,1.181985,1.202828,1.202828,33827251
2021-09-17,1.201017,1.214372,1.150403,1.155199,1.155199,22986443
2021-09-18,1.153354,1.209416,1.143577,1.179929,1.179929,24197827
2021-09-19,1.179912,1.381556,1.158294,1.213218,1.213218,89077427
2021-09-20,1.214321,1.351776,1.065560,1.076725,1.076725,106190854
2021-09-21,1.078557,1.117815,0.978850,0.997661,0.997661,43158232
2021-09-22,0.998644,1.126923,0.990722,1.120502,1.120502,35553489
2021-09-23,1.119531,1.128928,1.067696,1.104102,1.104102,32363871
2021-09-24,1.103100,1.107275,0.961455,1.056312,1.056312,39935867
2021-09-25,1.055324,1.069236,1.012795,1.051476,1.051476,24463173
2021-09-26,1.051539,1.078904,0.986653,1.042095,1.042095,27978944
2021-09-27,1.044109,1.070913,1.007023,1.008860,1.008860,20928246
2021-09-28,1.010842,1.030795,0.985596,0.997687,0.997687,18972066
2021-09-29,0.999562,1.055457,0.993681,1.012626,1.012626,19119023
2021-09-30,1.014521,1.058368,1.009707,1.053462,1.053462,19992046
2021-10-01,1.054412,1.124468,1.038293,1.121476,1.121476,29913218
2021-10-02,1.124446,1.169587,1.102780,1.135852,1.135852,31377494
2021-10-03,1.134704,1.167562,1.117642,1.132579,1.132579,21987294
2021-10-04,1.130585,1.140548,1.086713,1.117092,1.117092,30421287
2021-10-05,1.118974,1.179356,1.112294,1.168776,1.168776,32611384
2021-10-06,1.167778,1.299403,1.117603,1.230744,1.230744,67487568
2021-10-07,1.231596,1.233601,1.172519,1.203597,1.203597,40300789
2021-10-08,1.202675,1.299770,1.193374,1.247273,1.247273,41500356
2021-10-09,1.246383,1.277118,1.233723,1.252376,1.252376,28757595
2021-10-10,1.252248,1.296444,1.224572,1.227543,1.227543,36829508
2021-10-11,1.228611,1.258195,1.167801,1.208161,1.208161,32258551
2021-10-12,1.210151,1.210151,1.121191,1.166336,1.166336,28463915
2021-10-13,1.165511,1.273178,1.140364,1.188493,1.188493,35742009
2021-10-14,1.190391,1.257252,1.188386,1.215414,1.215414,33184893
2021-10-15,1.214456,1.401760,1.197226,1.331233,1.331233,93874551
2021-10-16,1.329297,1.390070,1.288462,1.301553,1.301553,60968523
2021-10-17,1.302557,1.332001,1.219530,1.276657,1.276657,46833849
2021-10-18,1.275720,1.361344,1.251252,1.307419,1.307419,55287721
