Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.646841,0.726529,0.559864,0.568749,0.568749,927
2021-08-23,0.568623,0.718696,0.529479,0.718480,0.718480,257
2021-08-24,0.718644,1.334245,0.705815,1.196608,1.196608,36
2021-08-25,1.194805,1.206644,0.654489,0.751719,0.751719,656
2021-08-26,0.751681,0.757940,0.573236,0.573236,0.573236,452
2021-08-27,0.573245,0.713357,0.568942,0.588193,0.588193,489
2021-08-28,0.588706,0.591404,0.582040,0.587075,0.587075,166
2021-08-29,0.586992,0.784582,0.575307,0.717425,0.717425,518
2021-08-30,0.717565,0.756305,0.638495,0.653843,0.653843,584
2021-08-31,0.654714,0.668471,0.523245,0.527685,0.527685,421
2021-09-01,0.527651,0.771948,0.520743,0.644199,0.644199,572
2021-09-02,0.643893,0.729457,0.640771,0.706110,0.706110,1339
2021-09-03,0.705873,0.754277,0.692304,0.730740,0.730740,650
2021-09-04,0.730529,1.274032,0.656463,0.673688,0.673688,71
2021-09-05,0.673854,0.709366,0.565387,0.694827,0.694827,495
2021-09-06,0.694298,0.979326,0.669168,0.979326,0.979326,497
2021-09-07,0.978960,1.012836,0.690106,0.722240,0.722240,4272
2021-09-08,0.722090,1.504083,0.670670,0.734586,0.734586,5074
2021-09-09,0.724457,1.098842,0.709000,1.073548,1.073548,1035
2021-09-10,1.073670,1.351682,0.944385,1.217405,1.217405,13527
2021-09-11,1.217743,1.340087,0.994947,1.275338,1.275338,11587
2021-09-12,1.275850,1.347818,0.999008,1.340142,1.340142,2683
2021-09-13,1.339080,1.344134,1.087051,1.193078,1.193078,1902
2021-09-14,1.193010,1.370180,1.016647,1.358191,1.358191,3657
2021-09-15,1.358731,1.375331,0.992679,1.367526,1.367526,2051
2021-09-16,1.367586,1.414650,0.779244,0.819695,0.819695,984
2021-09-17,0.819805,1.183010,0.688503,0.761260,0.761260,703
2021-09-18,0.761895,1.201429,0.732451,1.199731,1.199731,719
2021-09-19,1.200497,1.453833,0.997518,1.262302,1.262302,841
2021-09-20,1.261994,1.263817,0.796955,1.111172,1.111172,3303
2021-09-21,1.110271,1.237201,1.048890,1.132678,1.132678,2282
2021-09-22,1.136574,1.243196,1.133866,1.242060,1.242060,1069
2021-09-23,1.241900,1.400379,1.061898,1.360050,1.360050,1402
2021-09-24,1.359934,1.368590,1.013301,1.285954,1.285954,1364
2021-09-25,1.285901,1.289603,0.873281,0.899198,0.899198,1377
2021-09-26,0.899347,1.704472,0.833905,1.029684,1.029684,4002
2021-09-27,1.030323,1.050793,0.806140,0.839665,0.839665,3106
2021-09-28,0.838966,0.985571,0.830834,0.926401,0.926401,705
2021-09-29,0.927777,1.126938,0.879909,0.928426,0.928426,485
2021-09-30,0.929356,1.069855,0.825029,0.993527,0.993527,569
