Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,1351.120850,1394.142334,1307.075439,1332.787231,1332.787231,51185
2021-08-23,1333.222412,1540.135742,1331.379028,1463.967407,1463.967407,130389
2021-08-24,1464.131714,1473.753296,1358.526123,1378.024292,1378.024292,4273
2021-08-25,1377.919678,1408.342896,1347.799805,1394.962769,1394.962769,1336
2021-08-26,1396.148804,1536.226929,1393.120483,1491.586304,1491.586304,57485
2021-08-27,1494.093262,1565.856934,1456.745728,1561.862549,1561.862549,7033
2021-08-28,1561.889771,1599.552124,1551.682861,1587.868530,1587.868530,7780
2021-08-29,1589.350464,1612.247803,1506.838989,1521.109741,1521.109741,78095
2021-08-30,1520.844604,1549.281372,1478.437744,1501.934326,1501.934326,2946
2021-08-31,1501.928833,1532.000488,1426.239136,1516.216064,1516.216064,20884
2021-09-01,1515.850220,1577.003906,1472.897339,1573.488281,1573.488281,35762
2021-09-02,1576.316650,1639.994751,1560.078003,1591.766968,1591.766968,19245
2021-09-03,1591.430176,1671.789185,1567.268555,1649.016357,1649.016357,13578
2021-09-04,1648.612793,1667.744751,1508.792236,1580.649780,1580.649780,33816
2021-09-05,1581.269409,1597.403687,1532.668457,1553.573608,1553.573608,7919
2021-09-06,1553.818359,1658.330933,1536.748169,1571.145508,1571.145508,72100
2021-09-07,1570.686035,1576.713013,1304.344604,1357.528809,1357.528809,29610
2021-09-08,1358.747437,1393.067139,1198.065796,1293.671753,1293.671753,11586
2021-09-09,1285.847046,1363.114014,1263.431641,1266.684937,1266.684937,12956
2021-09-10,1266.618042,1294.282593,1167.249756,1193.385498,1193.385498,3774
2021-09-11,1193.524658,1241.287720,1192.193726,1212.004150,1212.004150,14742
2021-09-12,1211.618408,1284.578735,1202.800659,1252.453125,1252.453125,1616
2021-09-13,1252.242920,1261.979126,1144.649414,1195.118774,1195.118774,47540
2021-09-14,1195.162720,1245.607300,1192.948730,1235.269165,1235.269165,2862
2021-09-15,1235.601074,1285.309814,1207.952393,1283.846069,1283.846069,81468
2021-09-16,1284.273315,1353.737671,1265.671021,1294.527344,1294.527344,8688
2021-09-17,1293.541016,1301.699951,1205.225708,1279.666382,1279.666382,23548
2021-09-18,1280.482910,1319.431030,1269.297119,1280.432617,1280.432617,2118
2021-09-19,1281.036987,1290.745972,1220.646973,1228.918457,1228.918457,3579
2021-09-20,1228.984985,1230.974365,1099.530884,1143.962646,1143.962646,2378
2021-09-21,1142.917480,1161.119019,995.015625,1006.822815,1006.822815,10578
2021-09-22,1006.651855,1135.710571,1006.651550,1135.710571,1135.710571,18021
2021-09-23,1134.467651,1201.807373,1127.817993,1199.736694,1199.736694,21245
2021-09-24,1199.871338,1214.349121,1086.210693,1139.204346,1139.204346,22246
2021-09-25,1139.592651,1169.098511,1120.358643,1162.980347,1162.980347,0
2021-09-26,1162.759521,1194.645142,1092.679688,1171.015991,1171.015991,13057
2021-09-27,1170.338745,1212.996460,1112.566406,1112.566406,1112.566406,1969
2021-09-28,1112.652222,1123.994629,1060.145874,1062.376099,1062.376099,47
2021-09-29,1061.025391,1124.817017,1060.469360,1080.746094,1080.746094,1281
2021-09-30,1079.522949,1149.560669,1078.569214,1134.897217,1134.897217,2417
2021-10-01,1134.910156,1428.320190,1127.211426,1428.320190,1428.320190,53361
2021-10-02,1428.423096,1495.631348,1412.546997,1491.366821,1491.366821,8474
2021-10-03,1489.195923,1499.855225,1446.295044,1454.196655,1454.196655,6344
2021-10-04,1454.843262,1567.278564,1436.442383,1515.179321,1515.179321,45682
2021-10-05,1515.555542,1541.086060,1426.465576,1532.682739,1532.682739,12100
2021-10-06,1530.097778,1584.789917,1468.199829,1564.154419,1564.154419,2246
2021-10-07,1565.096069,1666.254761,1517.051636,1614.451904,1614.451904,14396
2021-10-08,1612.476685,1639.516846,1523.294922,1528.326416,1528.326416,10931
2021-10-09,1527.817261,1596.521851,1484.952271,1491.569702,1491.569702,19183
2021-10-10,1489.878540,1492.241211,1425.462891,1426.535156,1426.535156,1820
2021-10-11,1425.226196,1468.630493,1415.380005,1438.846191,1438.846191,15890
2021-10-12,1437.909180,1439.121582,1353.986084,1385.785400,1385.785400,3931
2021-10-13,1386.321777,1439.373535,1361.857178,1436.858032,1436.858032,10946
2021-10-14,1437.796143,1527.082764,1426.404297,1447.017578,1447.017578,3193
2021-10-15,1445.290894,1602.519409,1432.642944,1590.091797,1590.091797,68814
2021-10-16,1592.272583,1654.877075,1569.838013,1613.710449,1613.710449,62025
2021-10-17,1613.669678,1635.489380,1438.449341,1481.398193,1481.398193,33779
2021-10-18,1482.770142,1512.937988,1446.947998,1462.905518,1462.905518,526
2021-10-19,1463.013550,1532.560669,1437.275635,1487.780273,1487.780273,16084
2021-10-20,1480.858032,1613.263794,1476.299805,1600.026733,1600.026733,8986
2021-10-21,1597.261597,1667.404785,1509.562744,1548.495117,1548.495117,9874
2021-10-22,1546.849976,1579.779907,1484.776123,1502.673340,1502.673340,6314
2021-10-23,1503.744263,1663.950928,1496.178711,1638.298462,1638.298462,15641
2021-10-24,1639.852905,1693.964600,1558.022583,1599.080322,1599.080322,3217
2021-10-25,1596.607788,1671.546143,1586.037231,1661.242676,1661.242676,0
2021-10-26,1664.478882,1816.287842,1643.050659,1674.804932,1674.804932,21184
2021-10-27,1673.955200,1835.006714,1652.427856,1675.837646,1675.837646,21241
2021-10-28,1678.132813,1766.616455,1603.853516,1766.010254,1766.010254,38713
2021-10-29,1767.883423,2101.517822,1754.154907,2083.906982,2083.906982,42559
2021-10-30,2085.519287,2846.979492,1978.290405,2812.461914,2812.461914,399185
2021-10-31,2823.124268,2896.991699,2443.402100,2474.061035,2474.061035,252166
2021-11-01,2474.597656,2620.031982,2265.060791,2597.101074,2597.101074,41659
2021-11-02,2599.622559,3053.627930,2586.236572,3041.360596,3041.360596,39894
2021-11-03,3042.856689,3093.432861,2828.830322,2918.593262,2918.593262,30676
2021-11-04,2916.043457,2925.647949,2715.925049,2803.492676,2803.492676,46767
2021-11-05,2799.725342,2835.489014,2665.329590,2687.070557,2687.070557,5707
2021-11-06,2689.526367,2863.401611,2663.274414,2772.255127,2772.255127,36585
2021-11-07,2774.723877,2981.039795,2762.078369,2952.308838,2952.308838,9247
2021-11-08,2949.129395,3042.963135,2791.039307,2889.494385,2889.494385,49585
2021-11-09,2894.239502,2915.382568,2795.405273,2809.050293,2809.050293,2360
2021-11-10,2809.415527,2824.290527,2516.755127,2536.450439,2536.450439,31240
2021-11-11,2538.278076,2625.283203,2537.451416,2614.734131,2614.734131,59795
2021-11-12,2617.057861,2862.982422,2561.895508,2793.639160,2793.639160,140018
2021-11-13,2793.067383,3024.878662,2792.328125,2950.744873,2950.744873,14430
2021-11-14,2959.219727,3005.761719,2802.061768,2848.153076,2848.153076,3390
2021-11-15,2845.778320,3095.380371,2845.778320,2881.087646,2881.087646,56517
2021-11-16,2879.059814,21737.158203,0.000000,2861.684814,2861.684814,64507
2021-11-17,2860.955566,5275.222656,0.000000,3130.338623,3130.338623,63498
2021-11-18,3131.746582,3287.855713,3037.058350,3205.554688,3205.554688,47927
2021-11-19,3206.661621,3431.312988,3206.103027,3369.632080,3369.632080,1830
2021-11-20,3369.146240,3786.614014,3367.112061,3423.101807,3423.101807,69043
2021-11-21,3423.101807,3439.374512,3322.064453,3322.064453,3322.064453,15587
2021-11-22,3320.867188,3320.867188,3105.688477,3306.661621,3306.661621,23548
2021-11-23,3306.729492,3686.711670,3300.805664,3599.627930,3599.627930,16827
2021-11-24,3601.256592,5036.817871,3528.319336,3540.239746,3540.239746,16851
2021-11-25,4231.161621,4476.274902,3939.729248,4325.819824,4325.819824,160414
2021-11-26,4263.813965,4277.783203,3609.647705,4054.890137,4054.890137,333258
2021-11-27,4050.376221,4109.214844,3861.595215,3899.738770,3899.738770,55956
2021-11-28,3901.764160,3987.867188,3720.090820,3987.867188,3987.867188,9452
2021-11-29,3987.448486,4396.730469,3966.934814,4019.355225,4019.355225,16497
2021-11-30,4019.527344,4200.263672,3941.498779,4017.968262,4017.968262,76786
2021-12-01,4016.693359,4121.392578,3887.167236,3897.050781,3897.050781,19954
2021-12-02,3897.201172,3900.848877,3674.020020,3707.195068,3707.195068,11352
2021-12-03,3705.625000,3823.622803,3474.442139,3514.433350,3514.433350,7905
2021-12-04,3513.495117,3513.498535,2948.694336,3316.610107,3316.610107,56769
2021-12-05,3315.501953,3532.268555,3201.963135,3223.255615,3223.255615,40498
2021-12-06,3224.559326,3304.522949,3055.551758,3295.812744,3295.812744,4608
2021-12-07,3298.751709,3343.004150,3262.993164,3281.615234,3281.615234,3321
2021-12-08,3281.738281,3425.320313,3274.737549,3377.326904,3377.326904,2504
2021-12-09,3378.351318,3504.755127,3198.521240,3212.351807,3212.351807,911
2021-12-10,3210.422607,3283.428955,3051.242432,3052.959717,3052.959717,16347
2021-12-11,3052.104004,3187.024170,2995.817383,3187.024170,3187.024170,2835
2021-12-12,3186.602539,3279.374023,3051.642578,3052.020508,3052.020508,41972
2021-12-13,3052.213379,3055.616699,2719.727051,2745.748779,2745.748779,13045
2021-12-14,2744.932861,2843.640625,2715.638672,2743.831787,2743.831787,10682
2021-12-15,2814.143066,2971.550293,2662.821777,2969.167969,2969.167969,17867
2021-12-16,2968.919189,2978.305176,2909.157959,2914.953369,2914.953369,3201
2021-12-17,2914.734375,2920.861816,2751.062256,2804.223389,2804.223389,6864
2021-12-18,2804.601074,2949.932861,2756.800781,2945.570557,2945.570557,18382
2021-12-19,2945.514160,2975.294434,2902.100586,2916.512207,2916.512207,4679
2021-12-20,2916.166504,2928.781738,2820.895508,2917.410400,2917.410400,1565
2021-12-21,2916.790771,3013.336670,2916.008301,3010.512939,3010.512939,3241
2021-12-22,3008.805420,3044.410645,2989.697998,3001.223877,3001.223877,1176
2021-12-23,3002.176514,3370.418213,2927.979248,3370.418213,3370.418213,30442
2021-12-24,3369.251465,3480.126465,3361.947754,3449.967041,3449.967041,9482
2021-12-25,3453.034668,3499.977783,3152.695313,3238.426758,3238.426758,25376
2021-12-26,3226.452881,3447.863037,3166.045654,3431.970947,3431.970947,26017
2021-12-27,3432.374023,3452.625488,3367.181152,3428.909180,3428.909180,1040
2021-12-28,3428.854248,3429.977783,3199.123047,3201.078125,3201.078125,6317
2021-12-29,3200.799316,3215.634277,3046.357422,3050.897217,3050.897217,52
2021-12-30,3048.522705,3317.442871,2969.612305,3297.411865,3297.411865,26806
2021-12-31,3298.216797,3304.321045,3115.858887,3157.399170,3157.399170,529
2022-01-01,3157.399170,3295.881592,3157.254395,3227.758301,3227.758301,1409
2022-01-02,3227.758301,3310.395752,3103.979004,3109.382568,3109.382568,26558
2022-01-03,3109.382568,3110.405762,2887.361816,2939.255371,2939.255371,5009
2022-01-04,2939.255371,3033.362061,2902.088135,2980.791016,2980.791016,154
2022-01-05,2980.791016,3026.274902,2763.752441,2847.123535,2847.123535,2749
2022-01-06,2847.123535,2847.123535,2653.439453,2747.520264,2747.520264,1650
2022-01-07,2747.520264,2749.055176,2448.535645,2514.186035,2514.186035,2509
2022-01-08,2514.186035,2585.201416,2408.128418,2477.749756,2477.749756,2700
2022-01-09,2477.749756,2567.448730,2458.110840,2520.344727,2520.344727,726
2022-01-10,2520.344727,2544.168701,2351.754883,2467.687500,2467.687500,1189
2022-01-11,2467.687500,2556.585449,2424.652100,2534.513428,2534.513428,2171
2022-01-12,2534.513428,2663.216553,2511.707520,2648.226074,2648.226074,146
2022-01-13,2648.226074,2754.842529,2590.728027,2601.214355,2601.214355,3236
2022-01-14,2601.214355,2611.023193,2510.574707,2593.372803,2593.372803,235
2022-01-15,2593.372803,2663.632813,2568.532471,2661.952393,2661.952393,798
2022-01-16,2661.952393,2705.633789,2540.493652,2700.933350,2700.933350,61709
2022-01-17,2700.918701,2701.157959,2484.737549,2527.984863,2527.984863,6010
2022-01-18,2527.984863,2550.172607,2470.591797,2535.498779,2535.498779,4757
2022-01-19,2535.498779,2579.576660,2359.584229,2359.584229,2359.584229,26814
2022-01-20,2359.584473,2454.579102,2270.061279,2270.061279,2270.061279,5967
2022-01-21,2269.936523,2290.489502,1850.189575,1962.680542,1962.680542,7633
2022-01-22,1962.680542,2009.921265,1629.797363,1724.898315,1724.898315,25440
2022-01-23,1724.898315,1865.708618,1644.910522,1751.326172,1751.326172,39821
2022-01-24,1751.326172,1751.326172,1476.112305,1669.657715,1669.657715,2577
2022-01-25,1669.657715,1749.274902,1632.244873,1701.403320,1701.403320,27017
2022-01-26,1701.403320,2006.211304,1675.703247,1837.118652,1837.118652,17213
2022-01-27,1837.118652,1850.998413,1698.003296,1772.057617,1772.057617,3590
2022-01-28,1772.064087,1848.769775,1717.253662,1845.898315,1845.898315,1726
2022-01-29,1845.937866,1943.949951,1834.790771,1916.538330,1916.538330,4560
2022-01-30,1916.537842,1950.279907,1894.537354,1935.123901,1935.123901,563
2022-01-31,1935.114380,1984.993774,1845.946411,1979.125854,1979.125854,847
2022-02-01,1979.125854,2043.269409,1978.472412,2022.497192,2022.497192,235
2022-02-02,2022.497192,2047.666138,1884.544800,1922.201782,1922.201782,6678
2022-02-03,1922.201782,1946.907959,1830.445313,1884.801392,1884.801392,3424
2022-02-04,1884.801392,2108.056152,1884.801392,2108.056152,2108.056152,51
2022-02-05,2108.071777,2339.302490,2099.289551,2296.714600,2296.714600,25999
2022-02-06,2296.703613,2330.353027,2253.804443,2328.654297,2328.654297,3505
