Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.305777,0.313390,0.294840,0.310230,0.310230,9837179
2021-08-23,0.310524,0.320041,0.301472,0.312653,0.312653,12805235
2021-08-24,0.312663,0.319276,0.277869,0.282867,0.282867,11143157
2021-08-25,0.283288,0.298672,0.266322,0.289806,0.289806,10462256
2021-08-26,0.290186,0.298052,0.262267,0.263442,0.263442,9053123
2021-08-27,0.262541,0.285638,0.250420,0.281823,0.281823,9687877
2021-08-28,0.281824,0.313178,0.276548,0.289456,0.289456,14411616
2021-08-29,0.289574,0.295153,0.279406,0.286647,0.286647,8051745
2021-08-30,0.286715,0.373200,0.270489,0.299770,0.299770,40514219
2021-08-31,0.299284,0.340410,0.292301,0.300790,0.300790,29031569
2021-09-01,0.300662,0.316514,0.293149,0.311298,0.311298,10488801
2021-09-02,0.310716,0.317309,0.302716,0.304723,0.304723,8346673
2021-09-03,0.304189,0.321965,0.300086,0.311783,0.311783,8030975
2021-09-04,0.312763,0.340571,0.308105,0.322382,0.322382,13603147
2021-09-05,0.323119,0.339038,0.321642,0.333499,0.333499,10482840
2021-09-06,0.333389,0.362339,0.318526,0.349053,0.349053,15695378
2021-09-07,0.349064,0.377568,0.272770,0.284902,0.284902,20071672
2021-09-08,0.284950,0.304225,0.261208,0.295370,0.295370,9888120
2021-09-09,0.294802,0.330068,0.281215,0.321244,0.321244,11327005
2021-09-10,0.320062,0.330095,0.284206,0.294367,0.294367,10296916
2021-09-11,0.294680,0.321118,0.287531,0.304122,0.304122,9501729
2021-09-12,0.304099,0.322176,0.295563,0.303504,0.303504,8204019
2021-09-13,0.303027,0.305016,0.268848,0.282590,0.282590,7839384
2021-09-14,0.282558,0.308163,0.279634,0.292666,0.292666,7552354
2021-09-15,0.292646,0.307082,0.289593,0.304181,0.304181,5910935
2021-09-16,0.304223,0.319276,0.291621,0.298698,0.298698,8342489
2021-09-17,0.298927,0.299578,0.277559,0.281165,0.281165,4972760
2021-09-18,0.281178,0.343143,0.277788,0.296844,0.296844,12067494
2021-09-19,0.297137,0.330450,0.288819,0.293891,0.293891,12271519
2021-09-20,0.294319,0.294319,0.239394,0.243013,0.243013,8523190
2021-09-21,0.243270,0.257044,0.215017,0.229902,0.229902,7181331
2021-09-22,0.229017,0.268639,0.228263,0.260087,0.260087,13719131
2021-09-23,0.260882,0.283306,0.252698,0.270246,0.270246,18197284
2021-09-24,0.270235,0.278275,0.237621,0.245394,0.245394,9104359
2021-09-25,0.245390,0.307496,0.229372,0.284985,0.284985,40211696
2021-09-26,0.284980,0.362316,0.249522,0.284118,0.284118,58052499
2021-09-27,0.284903,0.292880,0.256018,0.257525,0.257525,13395968
2021-09-28,0.257033,0.263240,0.234083,0.234996,0.234996,10052968
2021-09-29,0.235866,0.256877,0.233110,0.239167,0.239167,6613204
2021-09-30,0.239357,0.251930,0.237670,0.248837,0.248837,6860765
2021-10-01,0.249722,0.279490,0.248244,0.268327,0.268327,11641986
2021-10-02,0.268347,0.283289,0.260927,0.273810,0.273810,7789523
2021-10-03,0.274165,0.283413,0.268345,0.273863,0.273863,5898226
2021-10-04,0.273655,0.274855,0.258965,0.262870,0.262870,8356039
2021-10-05,0.263744,0.274964,0.261801,0.270123,0.270123,6870987
2021-10-06,0.269629,0.271540,0.252859,0.263602,0.263602,7200912
2021-10-07,0.263477,0.285007,0.255732,0.276194,0.276194,10265220
2021-10-08,0.276102,0.298068,0.271555,0.282309,0.282309,11631656
2021-10-09,0.282027,0.312527,0.281242,0.290135,0.290135,12474788
2021-10-10,0.290200,0.302492,0.278677,0.281530,0.281530,9549331
2021-10-11,0.281183,0.288641,0.273834,0.279476,0.279476,5569533
2021-10-12,0.279498,0.281613,0.260727,0.272667,0.272667,5846561
2021-10-13,0.272309,0.277161,0.267122,0.271418,0.271418,5412645
2021-10-14,0.270542,0.288078,0.268444,0.276601,0.276601,8074637
2021-10-15,0.276695,0.308490,0.272016,0.295233,0.295233,15896439
2021-10-16,0.295336,0.331766,0.285710,0.288007,0.288007,17495965
2021-10-17,0.287613,0.306176,0.281706,0.288991,0.288991,10513161
2021-10-18,0.288990,0.300359,0.282348,0.284916,0.284916,7245625
2021-10-19,0.284907,0.285839,0.273630,0.276140,0.276140,6771310
2021-10-20,0.276532,0.291413,0.270591,0.287750,0.287750,7077503
2021-10-21,0.287089,0.290330,0.270893,0.276635,0.276635,7262901
2021-10-22,0.276633,0.282359,0.266570,0.272234,0.272234,6097687
