Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,2.735567,2.837498,2.728100,2.757628,2.757628,0
2021-11-05,2.757436,5.350758,2.686065,3.202905,3.202905,0
2021-11-06,3.202761,9.549385,3.200074,8.315016,8.315016,103037020
2021-11-07,8.322420,9.491822,6.077618,6.987512,6.987512,61915027
2021-11-08,6.979988,7.497412,5.882542,6.449584,6.449584,44676931
2021-11-09,6.460176,6.561066,5.061487,5.131774,5.131774,43505577
2021-11-10,5.131240,7.273575,4.764278,5.852305,5.852305,49412643
2021-11-11,5.856523,7.677021,5.784541,6.597853,6.597853,21540814
2021-11-12,6.603715,7.002562,5.824508,6.441894,6.441894,26201041
2021-11-13,6.440622,7.223500,6.190524,7.054161,7.054161,5229847
2021-11-14,7.074072,7.136419,6.648455,6.824696,6.824696,10363590
2021-11-15,6.819047,8.271926,6.819047,7.001610,7.001610,20090242
2021-11-16,6.996742,45.235535,5.512916,5.796346,5.796346,29182718
2021-11-17,5.794879,9.114514,5.240071,8.745991,8.745991,58216643
2021-11-18,8.749878,9.068448,6.730880,7.572752,7.572752,56975063
2021-11-19,7.575221,9.988845,7.543131,8.231789,8.231789,70167655
2021-11-20,8.234836,9.843277,8.221114,9.474966,9.474966,34906373
2021-11-21,9.473109,9.885432,9.086283,9.268615,9.268615,31728822
2021-11-22,9.265258,9.265258,7.794621,8.090803,8.090803,33428573
2021-11-23,8.090664,9.473965,7.955314,9.131964,9.131964,34155866
2021-11-24,9.135895,10.093106,8.370109,9.217182,9.217182,33174250
2021-11-25,9.958374,10.862829,9.616557,9.772137,9.772137,46925611
2021-11-26,10.707462,10.909471,7.991109,8.990879,8.990879,40780099
2021-11-27,8.981303,9.559808,8.839416,8.864120,8.864120,16586636
2021-11-28,8.867634,9.884356,7.950620,9.855506,9.855506,30641552
2021-11-29,9.854565,10.114318,9.517402,9.930428,9.930428,16965825
2021-11-30,9.930413,10.638534,9.840789,10.638534,10.638534,23493938
2021-12-01,10.634667,11.400209,10.261998,10.358616,10.358616,41722350
2021-12-02,10.358644,11.891467,8.157518,9.266894,9.266894,254585758
2021-12-03,9.311570,10.170663,8.226546,8.556999,8.556999,85080508
2021-12-04,8.575484,8.607010,6.048617,7.390708,7.390708,63023188
2021-12-05,7.380412,7.537927,6.102023,6.230306,6.230306,37679880
2021-12-06,6.240930,6.240930,5.011583,6.075586,6.075586,52277667
2021-12-07,6.087950,6.185542,5.348443,5.484639,5.484639,39705566
2021-12-08,5.494049,5.739569,5.044204,5.612655,5.612655,38573334
2021-12-09,5.595633,5.691313,4.974605,5.243048,5.243048,20093037
2021-12-10,5.244909,5.301583,4.500991,4.508551,4.508551,22302995
2021-12-11,4.517740,5.065477,4.328732,4.901787,4.901787,19565411
2021-12-12,4.881901,5.535174,4.663271,5.103211,5.103211,45720778
2021-12-13,5.125199,5.129342,4.093051,4.210337,4.210337,23623918
2021-12-14,4.210313,4.512646,4.098278,4.482321,4.482321,23600474
2021-12-15,4.491350,5.295356,4.397447,5.121126,5.121126,62305043
2021-12-16,5.101641,5.482907,5.005928,5.041179,5.041179,30018416
2021-12-17,5.032431,5.130254,4.453024,4.791408,4.791408,23384431
2021-12-18,4.784620,5.445345,4.596988,5.254474,5.254474,35346868
2021-12-19,5.263108,6.345914,5.172139,5.833247,5.833247,69502953
2021-12-20,5.841210,5.920325,5.075081,5.789244,5.789244,51767805
2021-12-21,5.784136,7.497017,5.723447,6.779320,6.779320,149521804
2021-12-22,6.781074,6.860119,6.355191,6.573757,6.573757,42835780
2021-12-23,6.573357,7.180761,6.338623,6.942208,6.942208,46586816
2021-12-24,6.952598,7.155219,6.791705,6.915699,6.915699,34095068
2021-12-25,6.918289,6.925251,6.542062,6.649604,6.649604,28178203
2021-12-26,6.658991,6.729770,6.182663,6.310637,6.310637,29499351
2021-12-27,6.302169,6.311902,5.833801,5.848756,5.848756,31663755
2021-12-28,5.850373,5.851515,5.162603,5.209189,5.209189,37812182
2021-12-29,5.208422,5.428728,4.725550,4.811496,4.811496,29247622
2021-12-30,4.811709,5.199532,4.732665,5.086119,5.086119,23141959
2021-12-31,5.095534,5.186592,4.775390,4.873791,4.873791,23494428
2022-01-01,4.861196,5.033461,4.836988,4.980774,4.980774,16151945
2022-01-02,4.977963,5.258404,4.929708,5.256453,5.256453,24778710
2022-01-03,5.254876,5.559731,5.006840,5.458281,5.458281,38268524
2022-01-04,5.457807,5.463877,5.062126,5.070502,5.070502,33323723
2022-01-05,5.070572,5.123501,4.350922,4.486788,4.486788,36297210
2022-01-06,4.486379,4.585609,4.222752,4.557547,4.557547,35712577
2022-01-07,4.555765,4.560721,3.910539,3.954251,3.954251,30053027
2022-01-08,3.953836,4.093398,3.628084,3.816985,3.816985,22523271
2022-01-09,3.815197,3.965322,3.712184,3.832908,3.832908,16626082
2022-01-10,3.833973,3.887512,3.446483,3.560544,3.560544,17851449
2022-01-11,3.560507,3.824891,3.535981,3.766322,3.766322,18466876
2022-01-12,3.766707,4.350981,3.673792,4.271093,4.271093,27760039
2022-01-13,4.270632,4.401415,4.024697,4.090662,4.090662,24622778
2022-01-14,4.089782,4.176344,3.906119,3.954152,3.954152,20538113
2022-01-15,3.954451,4.078432,3.934726,4.001262,4.001262,14899956
2022-01-16,4.001231,4.016577,3.863767,3.907783,3.907783,15568062
2022-01-17,3.907902,3.917359,3.517556,3.575716,3.575716,17146597
2022-01-18,3.575608,3.605630,3.378651,3.497497,3.497497,14104436
2022-01-19,3.497116,3.498328,3.216388,3.220211,3.220211,16773557
2022-01-20,3.217013,3.404774,3.091041,3.091458,3.091458,15879264
2022-01-21,3.091633,3.146604,2.378042,2.411895,2.411895,24216049
2022-01-22,2.413259,2.457912,2.052096,2.158122,2.158122,20165527
2022-01-23,2.157102,2.293627,2.083842,2.285874,2.285874,16081957
2022-01-24,2.278245,2.278245,1.873678,2.148592,2.148592,21793305
2022-01-25,2.150754,2.302231,2.073669,2.224524,2.224524,15862122
2022-01-26,2.223765,2.484612,2.074429,2.134652,2.134652,24663670
2022-01-27,2.133711,2.228151,2.025695,2.114073,2.114073,18046429
2022-01-28,2.113816,2.486957,2.069223,2.476772,2.476772,23473850
2022-01-29,2.476564,2.558027,2.356514,2.505942,2.505942,19510111
2022-01-30,2.506418,2.561915,2.403088,2.414117,2.414117,17321778
2022-01-31,2.414269,2.561798,2.294617,2.515757,2.515757,19008962
2022-02-01,2.514741,2.520133,2.348201,2.424504,2.424504,24043786
2022-02-02,2.425516,2.425516,2.126282,2.146509,2.146509,19496826
2022-02-03,2.145927,2.200855,2.075290,2.200855,2.200855,15437310
2022-02-04,2.202380,2.438365,2.202380,2.421172,2.421172,19690740
2022-02-05,2.421563,2.534457,2.407553,2.458808,2.458808,16005915
2022-02-06,2.458781,2.885697,2.434101,2.858191,2.858191,31481760
2022-02-07,2.861293,3.137114,2.782767,2.989488,2.989488,28153454
2022-02-08,2.989894,3.057783,2.797045,2.937779,2.937779,22471448
2022-02-09,2.936191,3.266651,2.847011,3.189479,3.189479,21502982
2022-02-10,3.189616,3.326320,2.924582,2.933027,2.933027,40168589
2022-02-11,2.932112,3.013102,2.629151,2.679069,2.679069,26246796
2022-02-12,2.679822,2.725812,2.584324,2.652016,2.652016,15899103
2022-02-13,2.652196,2.678942,2.565137,2.635293,2.635293,11558826
2022-02-14,2.633621,2.740292,2.558442,2.717278,2.717278,15161600
2022-02-15,2.717307,3.051080,2.705668,3.051080,3.051080,19286361
2022-02-16,3.054411,3.152588,2.934100,3.042747,3.042747,19693743
2022-02-17,3.042047,3.087199,2.703008,2.744511,2.744511,19428220
2022-02-18,2.744887,2.835935,2.595549,2.608544,2.608544,18815190
2022-02-19,2.608450,2.681640,2.525956,2.559388,2.559388,11014333
2022-02-20,2.559393,2.563458,2.303750,2.356973,2.356973,16995575
2022-02-21,2.355898,2.484868,2.276416,2.294434,2.294434,19571155
2022-02-22,2.293900,2.411357,2.231138,2.364491,2.364491,14806620
2022-02-23,2.364081,2.470052,2.262512,2.265492,2.265492,15883129
2022-02-24,2.264679,2.265713,1.912676,2.087963,2.087963,24275687
2022-02-25,2.088006,2.276233,2.072504,2.245706,2.245706,12636805
2022-02-26,2.245374,2.309414,2.230750,2.250965,2.250965,9351052
2022-02-27,2.250528,2.270029,2.099189,2.140297,2.140297,11598360
2022-02-28,2.139787,2.418621,2.115037,2.406080,2.406080,13319817
2022-03-01,2.407128,2.493982,2.380252,2.410536,2.410536,10757408
2022-03-02,2.410149,2.452366,2.356457,2.399827,2.399827,12719532
2022-03-03,2.399932,2.403261,2.250862,2.313672,2.313672,10406595
2022-03-04,2.313761,2.315392,2.097955,2.113503,2.113503,11009839
2022-03-05,2.113695,2.175864,2.090772,2.162427,2.162427,6230560
2022-03-06,2.162474,2.173158,2.078352,2.084811,2.084811,11020390
2022-03-07,2.084894,2.113782,1.980365,1.989927,1.989927,10602861
2022-03-08,1.989764,2.068966,1.988576,2.027406,2.027406,8042182
2022-03-09,2.027513,2.165925,2.019950,2.053108,2.053108,11799054
2022-03-10,2.053039,2.056235,1.928378,1.981849,1.981849,10185148
2022-03-11,1.981848,2.026914,1.924114,1.951378,1.951378,10953281
2022-03-12,1.951418,2.051221,1.951418,1.966500,1.966500,17561848
2022-03-13,1.966772,2.014031,1.884804,1.886735,1.886735,11762615
2022-03-14,1.886573,1.933860,1.870172,1.919479,1.919479,9276951
2022-03-15,1.919396,1.961038,1.857380,1.935624,1.935624,11360577
2022-03-16,1.935589,2.201310,1.906887,2.133183,2.133183,44003176
2022-03-17,2.133050,2.138343,2.084711,2.117452,2.117452,12617648
2022-03-18,2.117310,2.289827,2.078105,2.284420,2.284420,11345373
2022-03-19,2.284168,2.427111,2.263905,2.318936,2.318936,16877550
2022-03-20,2.319290,2.332211,2.216297,2.233947,2.233947,10029259
2022-03-21,2.233948,2.347484,2.216099,2.245800,2.245800,13199009
2022-03-22,2.245688,2.329410,2.242543,2.257372,2.257372,11939502
2022-03-23,2.257829,2.309557,2.196811,2.309044,2.309044,11346514
2022-03-24,2.308835,2.642696,2.301672,2.570231,2.570231,43591818
2022-03-25,2.568797,2.680270,2.493081,2.498921,2.498921,18807354
2022-03-26,2.499206,2.507892,2.462840,2.490421,2.490421,8436211
2022-03-27,2.490538,2.636430,2.486731,2.630817,2.630817,9193400
2022-03-28,2.632734,2.766789,2.621581,2.641517,2.641517,13707812
