Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,4.185764,4.206621,4.049500,4.156430,4.156430,13365241
2021-08-23,4.156067,6.269287,4.081331,6.007405,6.007405,53825001
2021-08-24,6.015223,7.014879,5.630768,6.535435,6.535435,41121277
2021-08-25,6.549344,6.936725,6.016734,6.722026,6.722026,28751813
2021-08-26,6.722295,7.015723,6.254420,6.263363,6.263363,20479553
2021-08-27,6.262685,7.266689,6.216360,7.011252,7.011252,21648451
2021-08-28,7.022884,7.118254,6.610521,6.653022,6.653022,11967403
2021-08-29,6.651484,6.835624,6.400893,6.406193,6.406193,15263651
2021-08-30,6.406113,6.439361,6.117940,6.155178,6.155178,18055403
2021-08-31,6.155065,6.454669,6.116456,6.143703,6.143703,13392656
2021-09-01,6.143035,6.329209,6.026746,6.210379,6.210379,10656348
2021-09-02,6.210590,6.383439,6.102399,6.106933,6.106933,8568806
2021-09-03,6.107818,6.184681,5.766989,5.812953,5.812953,12061967
2021-09-04,5.808532,5.912740,5.739866,5.767864,5.767864,10884924
2021-09-05,5.769030,5.887142,5.686757,5.778516,5.778516,8572995
2021-09-06,5.778898,5.939525,5.644623,5.935506,5.935506,16749549
2021-09-07,5.936512,5.956750,5.096002,5.169468,5.169468,19949455
2021-09-08,5.170971,5.282580,5.059493,5.186939,5.186939,19348908
2021-09-09,5.078657,5.400887,5.020025,5.266413,5.266413,17141998
2021-09-10,5.266603,5.327421,4.975685,5.002501,5.002501,17340808
2021-09-11,5.002187,5.199818,4.966755,5.150146,5.150146,13603372
2021-09-12,5.151249,5.268539,5.099265,5.220193,5.220193,16249418
2021-09-13,5.219778,6.641658,5.089993,5.236018,5.236018,36517435
2021-09-14,5.236423,5.262542,5.071198,5.147145,5.147145,18831018
2021-09-15,5.147525,5.256825,5.032788,5.104092,5.104092,14259015
2021-09-16,5.103321,5.392726,5.031106,5.158065,5.158065,15668307
2021-09-17,5.158127,5.163391,4.899654,5.026307,5.026307,20544194
2021-09-18,5.025866,5.196756,5.018472,5.116318,5.116318,13467973
2021-09-19,5.116458,8.185378,5.047407,5.988096,5.988096,21163097
2021-09-20,5.990333,6.089924,4.661898,4.734587,4.734587,33147690
2021-09-21,4.734938,4.780484,4.416925,4.484973,4.484973,21507751
2021-09-22,4.484258,5.242834,4.478839,4.740089,4.740089,52212974
2021-09-23,4.744326,4.797626,4.628746,4.735749,4.735749,30207290
2021-09-24,4.735767,5.160151,4.528730,4.631927,4.631927,34225076
2021-09-25,4.632000,4.738565,4.576603,4.697860,4.697860,15420393
2021-09-26,4.697748,5.106033,4.550345,4.620993,4.620993,23560191
2021-09-27,4.621250,4.725671,4.416611,4.425341,4.425341,5550563
2021-09-28,4.424126,4.490832,4.312952,4.383607,4.383607,3506719
2021-09-29,4.383941,4.670892,4.372823,4.438475,4.438475,6278667
2021-09-30,4.442838,4.515462,4.413908,4.502371,4.502371,2402424
2021-10-01,4.505027,4.661803,4.436479,4.637729,4.637729,3702509
2021-10-02,4.638123,4.642404,4.535447,4.558469,4.558469,2702558
2021-10-03,4.559517,4.760564,4.448042,4.629170,4.629170,5416377
2021-10-04,4.630429,4.806023,4.591376,4.719115,4.719115,6138195
2021-10-05,4.720447,4.793127,4.586333,4.668432,4.668432,3888248
2021-10-06,4.666072,4.772237,4.533761,4.765883,4.765883,3823849
2021-10-07,4.764449,5.701809,4.692480,4.926662,4.926662,11494524
2021-10-08,4.922925,5.667315,4.894117,5.546865,5.546865,13263484
2021-10-09,5.547955,6.182654,5.489799,5.542551,5.542551,14482855
2021-10-10,5.542550,5.716874,5.521659,5.575449,5.575449,5193989
2021-10-11,5.574726,6.360225,5.530693,6.090892,6.090892,14819827
2021-10-12,6.089546,7.544100,6.016048,7.140699,7.140699,40129347
2021-10-13,7.141441,7.339880,6.822531,6.839280,6.839280,15456047
2021-10-14,6.845911,6.854666,6.473995,6.547732,6.547732,6373236
2021-10-15,6.547982,6.792866,6.179834,6.220568,6.220568,4899995
2021-10-16,6.225875,6.444953,6.152957,6.378920,6.378920,4640182
2021-10-17,6.350729,6.414175,6.196295,6.220224,6.220224,3446316
2021-10-18,6.218578,6.498074,6.181819,6.239774,6.239774,5049372
2021-10-19,6.240593,6.259571,5.660546,5.681487,5.681487,7265598
2021-10-20,5.679284,5.780495,5.463063,5.718644,5.718644,6047996
2021-10-21,5.715614,7.725519,5.709806,6.504330,6.504330,37899023
2021-10-22,6.504257,6.645572,6.396687,6.626796,6.626796,6736301
2021-10-23,6.628004,7.424347,6.609317,7.200662,7.200662,9763361
2021-10-24,7.191262,7.727379,6.982401,7.134843,7.134843,17929275
2021-10-25,7.145387,10.516610,7.128351,10.489915,10.489915,90754394
2021-10-26,10.465869,15.976450,10.462274,11.524165,11.524165,209355673
2021-10-27,11.528784,13.994455,10.086191,13.489288,13.489288,70398250
2021-10-28,13.448149,16.338036,13.448149,14.736284,14.736284,69016674
2021-10-29,14.737806,14.906022,13.467043,13.564552,13.564552,24354306
2021-10-30,13.548762,13.578891,12.721746,12.752029,12.752029,9628738
2021-10-31,12.757552,13.948765,12.712961,13.939407,13.939407,13420668
2021-11-01,13.922307,15.220562,13.474090,14.043777,14.043777,19087499
2021-11-02,14.047732,16.326889,13.901578,16.095997,16.095997,27532690
2021-11-03,16.097410,18.153025,16.073938,17.954674,17.954674,33939829
2021-11-04,17.937607,19.817738,17.414886,17.745348,17.745348,42185875
2021-11-05,17.743031,17.809742,16.425722,16.425722,16.425722,11823190
2021-11-06,16.421631,18.052429,16.372471,17.990620,17.990620,12241862
2021-11-07,18.051828,18.590664,17.741327,18.340872,18.340872,12767817
2021-11-08,18.336357,23.377121,18.185946,23.006275,23.006275,51590554
2021-11-09,23.000662,25.393282,22.667416,22.879992,22.879992,40058090
2021-11-10,22.838511,26.028547,22.398952,22.976624,22.976624,43404345
2021-11-11,22.976759,25.315710,22.918045,25.304657,25.304657,33530179
2021-11-12,25.334103,27.088469,23.323320,23.337406,23.337406,41643455
2021-11-13,23.314650,23.436207,21.790874,22.669228,22.669228,16461672
2021-11-14,22.651476,22.651476,19.734947,20.417784,20.417784,20353952
2021-11-15,20.431761,21.596148,19.255451,19.554701,19.554701,18177060
2021-11-16,19.550938,39.427673,17.239145,17.308834,17.308834,33704797
2021-11-17,17.295584,21.664927,16.399717,17.572227,17.572227,21536034
2021-11-18,17.577637,18.386091,16.457636,16.613462,16.613462,22897643
2021-11-19,16.614674,20.249821,16.189419,19.963490,19.963490,33414139
2021-11-20,19.945101,20.427078,19.073355,19.119299,19.119299,14277964
2021-11-21,19.106092,19.476295,18.506407,18.506407,18.506407,10007223
2021-11-22,18.506767,18.528805,17.413078,17.564234,17.564234,19421695
2021-11-23,17.557457,18.302858,17.277344,17.887342,17.887342,13609996
2021-11-24,17.882620,19.193731,17.882620,18.176018,18.176018,15751926
2021-11-25,18.911173,19.433846,18.412045,18.415920,18.415920,8578880
2021-11-26,18.875048,19.162621,17.527899,17.543730,17.543730,10258263
2021-11-27,17.538656,18.134068,17.509857,17.757898,17.757898,11303743
2021-11-28,17.762810,17.979769,17.173889,17.914936,17.914936,12446283
2021-11-29,17.915545,18.301001,17.395962,18.207281,18.207281,9098659
2021-11-30,18.212015,18.548985,17.999882,17.999882,17.999882,8758375
2021-12-01,17.998329,18.272642,17.871044,17.921017,17.921017,8431328
2021-12-02,17.897940,18.024494,17.390877,17.390877,17.390877,8920766
2021-12-03,17.383772,18.057722,16.803490,16.819981,16.819981,10152950
2021-12-04,16.826658,16.878700,15.413285,15.674294,15.674294,11602222
2021-12-05,15.697451,15.765385,14.955017,15.155596,15.155596,6720952
2021-12-06,15.155808,18.389896,14.139992,18.312641,18.312641,38268588
2021-12-07,18.311178,19.490883,17.900185,19.092621,19.092621,17730144
2021-12-08,19.092876,21.449268,19.051853,21.234970,21.234970,23806593
2021-12-09,21.209042,23.489948,20.719013,21.017483,21.017483,27237005
2021-12-10,21.045727,22.039928,18.859741,19.606487,19.606487,35414083
2021-12-11,19.606304,19.999149,19.270641,19.547642,19.547642,6862736
2021-12-12,19.545839,19.558252,17.736935,18.575338,18.575338,16422563
2021-12-13,18.581030,18.590221,17.611034,17.611034,17.611034,8642844
2021-12-14,17.613663,17.934986,17.082245,17.307720,17.307720,7145444
2021-12-15,17.305735,17.508823,16.616333,16.913996,16.913996,6138525
2021-12-16,17.017473,17.326385,16.288210,16.310793,16.310793,5609024
2021-12-17,16.425573,16.500774,15.171279,15.387481,15.387481,7197107
2021-12-18,15.393997,15.541951,13.412591,14.018813,14.018813,22416789
2021-12-19,14.016509,14.661217,13.938579,14.418696,14.418696,6403192
2021-12-20,14.414445,14.713016,13.893375,14.009933,14.009933,6470905
2021-12-21,14.011240,18.459564,13.812577,17.305084,17.305084,31389164
2021-12-22,17.308083,18.742397,17.078926,18.027187,18.027187,24955534
2021-12-23,18.026590,20.684362,17.943102,20.169283,20.169283,20228774
2021-12-24,20.170177,22.696711,20.058863,21.216930,21.216930,18926082
2021-12-25,21.217751,21.992191,20.096640,20.408566,20.408566,9777351
2021-12-26,20.408852,20.731567,20.061760,20.495129,20.495129,7682289
2021-12-27,20.492678,25.013239,20.281580,23.852205,23.852205,32136391
2021-12-28,23.681011,25.405329,22.018257,22.038227,22.038227,31513177
2021-12-29,22.172655,27.777470,21.662664,26.446411,26.446411,49767739
2021-12-30,26.198263,33.314869,25.667349,29.969868,29.969868,141509770
2021-12-31,30.006155,41.830296,29.687807,39.045494,39.045494,125855588
2022-01-01,39.042461,40.180840,34.980705,36.949608,36.949608,62309058
2022-01-02,36.946327,36.946327,34.996204,35.093643,35.093643,24286041
2022-01-03,35.094273,35.154297,32.238243,32.924335,32.924335,24525290
2022-01-04,32.932972,40.421509,32.694702,37.716343,37.716343,77559125
2022-01-05,37.725307,38.495605,34.037868,34.816643,34.816643,33762872
2022-01-06,34.836769,35.718613,32.757175,34.425491,34.425491,36026318
2022-01-07,34.425610,38.876556,34.255741,38.199528,38.199528,65295616
2022-01-08,38.226898,41.372074,37.403961,38.148891,38.148891,52420004
