Date,Open,High,Low,Close,Adj Close,Volume
2022-01-10,2.486544,2.898464,1.974127,2.108523,2.108523,261867311
2022-01-11,2.108523,3.860763,2.050003,2.818790,2.818790,292281497
2022-01-12,2.814972,4.444055,2.611498,3.651331,3.651331,342513915
2022-01-13,3.650519,4.820554,3.645515,4.014480,4.014480,224096909
2022-01-14,4.018020,4.413463,3.149018,3.443861,3.443861,198004567
2022-01-15,3.444226,4.047833,3.350846,3.708581,3.708581,136655118
2022-01-16,3.709745,5.079516,3.697080,4.696019,4.696019,155832159
2022-01-17,4.695994,4.940571,4.208047,4.449545,4.449545,155229943
2022-01-18,4.447229,5.219407,4.189524,4.895604,4.895604,193139927
2022-01-19,4.896790,6.176341,4.799802,5.869508,5.869508,128253164
2022-01-20,5.867934,7.072677,5.558257,5.558257,5.558257,302569442
2022-01-21,5.560182,6.065569,3.984540,3.989727,3.989727,332686133
2022-01-22,3.986896,4.486407,3.310277,4.045206,4.045206,220951998
2022-01-23,4.047623,4.486982,3.770209,4.281850,4.281850,120787052
2022-01-24,4.285271,4.293033,3.195322,3.726310,3.726310,174159185
2022-01-25,3.717279,4.045096,3.598464,3.744788,3.744788,125009584
2022-01-26,3.745775,4.380537,3.614461,3.786937,3.786937,118446133
2022-01-27,3.787856,4.228281,3.578818,4.010415,4.010415,101690822
2022-01-28,4.009668,4.962643,3.934626,4.930623,4.930623,71058541
2022-01-29,4.932856,5.316426,4.654355,4.992890,4.992890,70497856
2022-01-30,4.993122,5.045492,4.109580,4.353981,4.353981,110955116
2022-01-31,4.354986,4.754687,4.024633,4.749425,4.749425,121706370
2022-02-01,4.751239,5.761030,4.625013,5.605803,5.605803,192077785
2022-02-02,5.606611,5.620009,4.881999,5.065970,5.065970,177523832
2022-02-03,5.066309,5.178865,4.350676,4.757131,4.757131,132290044
2022-02-04,4.758789,5.114687,4.395586,4.875154,4.875154,134503277
2022-02-05,4.875685,5.075473,3.815328,3.956551,3.956551,165877429
2022-02-06,3.954425,4.163748,3.518873,3.925504,3.925504,174217545
2022-02-07,3.925223,3.938131,3.341893,3.710498,3.710498,158252473
2022-02-08,3.711291,3.913782,3.183339,3.490300,3.490300,125768538
2022-02-09,3.489953,3.978244,3.004538,3.729958,3.729958,192738342
2022-02-10,3.730358,3.998443,3.356736,3.356736,3.356736,121115508
2022-02-11,3.353840,3.441827,2.722461,2.860400,2.860400,136346250
