Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.248705,0.252423,0.248345,0.250558,0.250558,766206
2021-08-23,0.250535,0.272859,0.245882,0.251412,0.251412,744273
2021-08-24,0.251434,0.257597,0.244792,0.251632,0.251632,601301
2021-08-25,0.251325,0.261221,0.250434,0.251672,0.251672,413901
2021-08-26,0.251520,0.254053,0.247886,0.248431,0.248431,542586
2021-08-27,0.248409,0.252754,0.247269,0.250488,0.250488,713456
2021-08-28,0.247842,0.253562,0.247521,0.248899,0.248899,718843
2021-08-29,0.249494,0.254905,0.247946,0.249315,0.249315,578145
2021-08-30,0.249794,0.254004,0.239180,0.247965,0.247965,517452
2021-08-31,0.247965,0.257681,0.243482,0.249254,0.249254,514093
2021-09-01,0.249154,0.256635,0.243905,0.248724,0.248724,705015
2021-09-02,0.248727,0.254358,0.241563,0.243658,0.243658,650844
2021-09-03,0.243617,0.254897,0.242019,0.248813,0.248813,671606
2021-09-04,0.248805,0.252155,0.244792,0.248211,0.248211,740311
2021-09-05,0.248190,0.253239,0.247334,0.249175,0.249175,632195
2021-09-06,0.249159,0.253391,0.240813,0.247866,0.247866,535057
2021-09-07,0.248346,0.258830,0.247472,0.257139,0.257139,386766
2021-09-08,0.257092,0.257092,0.240860,0.255185,0.255185,467075
2021-09-09,0.248845,0.255172,0.245279,0.247186,0.247186,615256
2021-09-10,0.247182,0.253383,0.246368,0.248431,0.248431,531450
2021-09-11,0.248451,0.254568,0.245619,0.247532,0.247532,614489
2021-09-12,0.247523,0.342507,0.233185,0.279659,0.279659,707067
2021-09-13,0.279625,0.293193,0.244054,0.249177,0.249177,754536
2021-09-14,0.249147,0.253383,0.246339,0.248756,0.248756,485773
2021-09-15,0.248748,0.252928,0.244961,0.247795,0.247795,641452
2021-09-16,0.247857,0.249520,0.233905,0.247309,0.247309,639258
2021-09-17,0.247337,0.249747,0.236382,0.246928,0.246928,622469
2021-09-18,0.246947,0.250100,0.244156,0.248306,0.248306,566100
2021-09-19,0.248307,0.252316,0.245859,0.250130,0.250130,501548
2021-09-20,0.250153,0.253789,0.211872,0.246318,0.246318,320900
2021-09-21,0.246279,0.252128,0.242016,0.245507,0.245507,427078
2021-09-22,0.245501,0.249172,0.245389,0.246118,0.246118,455314
2021-09-23,0.246123,0.249128,0.237809,0.247027,0.247027,542754
2021-09-24,0.247016,0.251177,0.246085,0.248188,0.248188,450055
2021-09-25,0.248185,0.251506,0.245898,0.249260,0.249260,487108
2021-09-26,0.249262,0.251863,0.220940,0.222562,0.222562,461159
2021-09-27,0.222542,0.232664,0.209748,0.210522,0.210522,398154
2021-09-28,0.210522,0.213491,0.209532,0.210134,0.210134,330796
2021-09-29,0.210147,0.212848,0.208687,0.210512,0.210512,344429
2021-09-30,0.210505,0.213424,0.208865,0.209668,0.209668,449607
2021-10-01,0.209665,0.212113,0.208602,0.209450,0.209450,464195
2021-10-02,0.209465,0.210718,0.208575,0.209428,0.209428,591515
2021-10-03,0.209397,0.212329,0.199288,0.209033,0.209033,713086
2021-10-04,0.209022,0.211045,0.208147,0.208989,0.208989,715647
2021-10-05,0.208982,0.227321,0.208879,0.225869,0.225869,499517
2021-10-06,0.225862,0.254969,0.225511,0.252237,0.252237,509266
2021-10-07,0.252212,0.256757,0.250501,0.253872,0.253872,592004
2021-10-08,0.253878,0.256024,0.236552,0.251742,0.251742,723887
2021-10-09,0.251757,0.254608,0.251691,0.252973,0.252973,694407
2021-10-10,0.252945,0.259230,0.251487,0.252902,0.252902,605404
2021-10-11,0.252926,0.261203,0.251630,0.252050,0.252050,471744
2021-10-12,0.252069,0.255083,0.251643,0.253633,0.253633,382256
2021-10-13,0.253661,0.345303,0.251769,0.341198,0.341198,468361
2021-10-14,0.341185,0.345563,0.336915,0.339268,0.339268,320751
2021-10-15,0.339265,0.344288,0.330082,0.339516,0.339516,313188
2021-10-16,0.339517,0.413307,0.336319,0.412014,0.412014,288352
2021-10-17,0.412006,0.502066,0.409094,0.492477,0.492477,207779
2021-10-18,0.492473,0.493397,0.483455,0.484954,0.484954,899634
2021-10-19,0.484939,0.495457,0.481991,0.488354,0.488354,481555
2021-10-20,0.488359,0.546759,0.481419,0.537077,0.537077,662776
2021-10-21,0.537118,0.559773,0.521306,0.530601,0.530601,1275547
2021-10-22,0.530585,0.531001,0.497058,0.516128,0.516128,1417021
2021-10-23,0.516137,0.526082,0.499422,0.506184,0.506184,1247115
2021-10-24,0.506153,0.514833,0.488508,0.502691,0.502691,1073431
2021-10-25,0.502671,0.507941,0.479146,0.492213,0.492213,1142523
2021-10-26,0.492167,0.499340,0.470046,0.484650,0.484650,1061715
2021-10-27,0.484629,0.554261,0.409826,0.514410,0.514410,1113834
2021-10-28,0.514406,0.568053,0.513901,0.554765,0.554765,923809
2021-10-29,0.554797,0.562885,0.550787,0.551447,0.551447,985801
2021-10-30,0.551457,0.559282,0.550738,0.556337,0.556337,992119
2021-10-31,0.556381,0.562202,0.555946,0.558904,0.558904,408195
2021-11-01,0.558883,0.742555,0.557667,0.732782,0.732782,1015848
2021-11-02,0.732790,0.749777,0.731238,0.737718,0.737718,1288852
2021-11-03,0.737731,0.755721,0.731396,0.735280,0.735280,1255309
2021-11-04,0.735264,0.751197,0.731323,0.739756,0.739756,1249188
2021-11-05,0.739696,0.791560,0.731636,0.782132,0.782132,966389
2021-11-06,0.782140,0.788420,0.781257,0.785536,0.785536,733628
2021-11-07,0.785675,0.788414,0.784432,0.786528,0.786528,901651
2021-11-08,0.786542,0.801679,0.782924,0.783800,0.783800,938143
2021-11-09,0.783779,0.785914,0.783046,0.784451,0.784451,552177
2021-11-10,0.784512,0.789754,0.531233,0.786783,0.786783,492242
2021-11-11,0.786743,0.796282,0.766317,0.791404,0.791404,1165075
2021-11-12,0.790406,1.044503,0.745055,0.985282,0.985282,1074997
2021-11-13,0.986486,1.099683,0.926318,1.063740,1.063740,693533
2021-11-14,1.063666,1.246760,1.051867,1.217333,1.217333,1260098
2021-11-15,1.217571,1.241165,1.210843,1.230759,1.230759,1554147
2021-11-16,1.232659,1.254712,1.177641,1.235626,1.235626,1429446
2021-11-17,1.235432,1.275704,1.156958,1.230127,1.230127,1338567
2021-11-18,1.229984,1.249151,1.223200,1.228261,1.228261,1292438
2021-11-19,1.228127,1.241658,1.223148,1.227484,1.227484,1216543
2021-11-20,1.227374,1.259661,1.224603,1.232470,1.232470,1254841
2021-11-21,1.233253,1.254074,1.224416,1.231836,1.231836,1366371
2021-11-22,1.231368,1.251306,1.225019,1.235151,1.235151,1419312
2021-11-23,1.235093,1.253200,1.224449,1.230234,1.230234,1336208
2021-11-24,1.230126,1.241531,1.225252,1.235467,1.235467,1322721
2021-11-25,1.231583,1.781951,1.225941,1.232519,1.232519,1406833
2021-11-26,1.767905,1.784170,1.752461,1.783289,1.783289,1463472
2021-11-27,1.783044,1.800193,1.713252,1.769650,1.769650,744989
2021-11-28,1.769100,1.823976,1.616137,1.782098,1.782098,890564
2021-11-29,1.781525,1.798932,1.758133,1.760817,1.760817,671507
2021-11-30,1.760342,1.799762,1.735372,1.798716,1.798716,550350
2021-12-01,1.798476,1.813732,1.742595,1.769599,1.769599,429816
2021-12-02,1.769576,2.191732,1.682277,2.154374,2.154374,345354
2021-12-03,2.156325,2.227059,1.738018,2.131058,2.131058,297640
2021-12-04,2.130945,2.238293,2.122803,2.139557,2.139557,539608
2021-12-05,2.139390,2.181195,1.670378,1.673662,1.673662,423045
2021-12-06,1.673885,1.705061,1.646566,1.657012,1.657012,219299
2021-12-07,1.657713,1.726189,1.645362,1.659173,1.659173,248912
2021-12-08,1.659059,1.740457,1.647074,1.679393,1.679393,262681
2021-12-09,1.677538,1.718178,1.663250,1.671382,1.671382,830822
2021-12-10,1.672022,1.718965,1.656819,1.662860,1.662860,844723
2021-12-11,1.662695,1.669156,1.656868,1.667259,1.667259,824005
2021-12-12,1.667065,1.674432,1.630380,1.669253,1.669253,850559
2021-12-13,1.670061,1.723259,1.447761,1.659169,1.659169,217412
2021-12-14,1.659162,1.693591,1.529886,1.642959,1.642959,172675
2021-12-15,1.645388,1.721697,1.541636,1.647493,1.647493,781840
2021-12-16,1.647477,1.650873,1.405429,1.643535,1.643535,749269
2021-12-17,1.643771,1.657799,1.642417,1.654509,1.654509,320207
2021-12-18,1.655461,1.693922,1.352133,1.353296,1.353296,666440
2021-12-19,1.353124,1.429307,1.346985,1.350654,1.350654,652995
2021-12-20,1.350222,1.414627,1.346467,1.354297,1.354297,670718
2021-12-21,1.353210,1.357280,1.352303,1.355140,1.355140,667596
2021-12-22,1.355524,1.401465,1.309659,1.374409,1.374409,373776
2021-12-23,1.374317,1.616159,1.226874,1.372863,1.372863,627880
2021-12-24,1.373031,1.373239,0.858203,1.369741,1.369741,639334
2021-12-25,1.369758,1.387514,0.906417,1.368964,1.368964,640262
2021-12-26,1.369041,1.372234,1.332905,1.368301,1.368301,633103
2021-12-27,1.368110,1.392408,0.971384,1.367695,1.367695,645326
2021-12-28,1.368095,1.371856,1.367090,1.370184,1.370184,635405
2021-12-29,1.369982,1.404946,1.171032,1.173835,1.173835,601942
2021-12-30,1.173908,1.216743,0.542652,0.949135,0.949135,260910
2021-12-31,0.949196,0.994950,0.559010,0.994950,0.994950,82617
2022-01-01,0.994950,0.994950,0.967207,0.970679,0.970679,52963
2022-01-02,0.970671,0.995697,0.968174,0.987554,0.987554,160014
2022-01-03,0.987547,0.994801,0.980173,0.992904,0.992904,273076
2022-01-04,0.993172,0.996187,0.985940,0.991892,0.991892,551871
2022-01-05,0.991892,0.993193,0.980756,0.987988,0.987988,600233
2022-01-06,0.987988,0.991229,0.973659,0.987015,0.987015,499684
2022-01-07,0.987015,0.989146,0.980022,0.981626,0.981626,492274
2022-01-08,0.981626,0.984603,0.978212,0.980427,0.980427,465732
2022-01-09,0.980427,0.982388,0.965024,0.980873,0.980873,458881
2022-01-10,0.980873,0.984477,0.976946,0.980356,0.980356,460316
2022-01-11,0.980356,0.984237,0.963476,0.981128,0.981128,445707
2022-01-12,0.981128,0.982288,0.975254,0.978880,0.978880,464408
2022-01-13,0.978880,0.982803,0.970145,0.976906,0.976906,472426
2022-01-14,0.976906,0.983745,0.960310,0.980953,0.980953,458066
2022-01-15,0.980953,0.984978,0.977496,0.980823,0.980823,463303
2022-01-16,0.980823,0.985631,0.977771,0.980353,0.980353,454253
2022-01-17,0.980353,0.987469,0.490035,0.985469,0.985469,428511
2022-01-18,0.985469,0.986082,0.526053,0.967445,0.967445,228072
2022-01-19,0.967445,0.992548,0.536734,0.986206,0.986206,251731
2022-01-20,0.986206,0.996957,0.982442,0.989027,0.989027,275296
2022-01-21,0.989021,1.013521,0.982775,0.985157,0.985157,242396
2022-01-22,0.985162,1.003561,0.976596,0.981676,0.981676,175859
2022-01-23,0.981673,1.005525,0.981673,0.995425,0.995425,243732
2022-01-24,0.995433,1.010803,0.990043,0.994937,0.994937,209077
2022-01-25,0.994940,1.003332,0.991782,0.996616,0.996616,307527
2022-01-26,0.996607,0.996607,0.990057,0.990928,0.990928,251790
2022-01-27,0.990930,0.992077,0.944897,0.944897,0.944897,118297
2022-01-28,0.944896,0.949773,0.900712,0.934830,0.934830,189920
2022-01-29,0.934825,0.953194,0.879829,0.896936,0.896936,278626
2022-01-30,0.897020,0.952545,0.869577,0.948089,0.948089,239802
2022-01-31,0.948091,0.970396,0.934786,0.934876,0.934876,170643
2022-02-01,0.934894,0.964910,0.913421,0.949613,0.949613,270012
2022-02-02,0.949615,1.016672,0.899497,0.934157,0.934157,200309
2022-02-03,0.934158,0.936712,0.848202,0.886429,0.886429,184546
2022-02-04,0.886431,0.993521,0.876795,0.968634,0.968634,220623
2022-02-05,0.968623,0.987859,0.933547,0.976981,0.976981,245217
2022-02-06,0.976973,0.999547,0.922609,0.964971,0.964971,231998
2022-02-07,0.964969,1.001643,0.940196,0.987503,0.987503,331180
2022-02-08,0.987502,0.987502,0.963057,0.976575,0.976575,201356
2022-02-09,0.976526,1.022072,0.976326,1.010772,1.010772,270336
2022-02-10,1.010758,1.013574,0.969779,0.991327,0.991327,254089
2022-02-11,0.991331,1.009816,0.990185,1.007375,1.007375,229975
2022-02-12,1.007373,1.013249,0.976267,0.982101,0.982101,200202
