Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.503766,0.523635,0.497599,0.516150,0.516150,226346
2021-08-23,0.515327,0.537987,0.501372,0.529477,0.529477,189387
2021-08-24,0.529898,0.539739,0.490828,0.503012,0.503012,180637
2021-08-25,0.501854,0.521982,0.482212,0.501112,0.501112,151454
2021-08-26,0.502138,0.541688,0.474771,0.512985,0.512985,157949
2021-08-27,0.512387,0.555566,0.498796,0.546145,0.546145,158002
2021-08-28,0.546632,0.566492,0.525009,0.525524,0.525524,124050
2021-08-29,0.525323,0.566017,0.520857,0.536776,0.536776,189012
2021-08-30,0.536825,0.557611,0.508568,0.526454,0.526454,145716
2021-08-31,0.527527,0.582971,0.511294,0.530506,0.530506,177765
2021-09-01,0.529561,0.575823,0.515005,0.551818,0.551818,222719
2021-09-02,0.551455,0.640835,0.549861,0.596187,0.596187,103561
2021-09-03,0.595959,0.632784,0.529983,0.540489,0.540489,281817
2021-09-04,0.540033,0.550674,0.520978,0.538149,0.538149,334528
2021-09-05,0.538230,0.569272,0.524179,0.560104,0.560104,269381
2021-09-06,0.559700,0.570708,0.533982,0.569855,0.569855,227827
2021-09-07,0.569364,0.571089,0.449444,0.484918,0.484918,438752
2021-09-08,0.484403,0.503623,0.458970,0.490896,0.490896,315527
2021-09-09,0.486947,0.510556,0.483108,0.498603,0.498603,180050
2021-09-10,0.498363,0.512362,0.467644,0.481685,0.481685,157688
2021-09-11,0.481649,0.509016,0.468776,0.471592,0.471592,140770
2021-09-12,0.471553,0.525455,0.468961,0.505288,0.505288,136925
2021-09-13,0.504569,0.515099,0.450637,0.462757,0.462757,654925
2021-09-14,0.462724,0.501132,0.458158,0.501132,0.501132,187584
2021-09-15,0.501390,0.529485,0.394896,0.525075,0.525075,107760
2021-09-16,0.526333,0.526631,0.412747,0.416291,0.416291,150705
2021-09-17,0.416353,0.497973,0.415103,0.462375,0.462375,115199
2021-09-18,0.463001,0.517216,0.458686,0.492030,0.492030,96993
2021-09-19,0.492513,0.520085,0.426810,0.513651,0.513651,109896
2021-09-20,0.513517,0.515245,0.361939,0.385072,0.385072,198844
2021-09-21,0.385495,0.434394,0.349370,0.424718,0.424718,110696
2021-09-22,0.424565,0.524965,0.406554,0.435883,0.435883,72197
2021-09-23,0.435747,0.538848,0.434404,0.531684,0.531684,77951
2021-09-24,0.531491,0.532244,0.397946,0.475051,0.475051,63792
2021-09-25,0.475008,0.498746,0.343745,0.343745,0.343745,78299
2021-09-26,0.343855,0.461950,0.305469,0.385664,0.385664,124615
2021-09-27,0.385416,0.440124,0.302774,0.410489,0.410489,84822
2021-09-28,0.410403,0.430190,0.309334,0.318301,0.318301,104186
2021-09-29,0.319107,0.427106,0.302631,0.309709,0.309709,104362
2021-09-30,0.309962,0.438695,0.308591,0.326694,0.326694,99359
2021-10-01,0.326786,0.474314,0.325178,0.474314,0.474314,141221
2021-10-02,0.474030,0.490238,0.351924,0.474467,0.474467,102921
2021-10-03,0.474262,0.480202,0.347992,0.378089,0.378089,95614
2021-10-04,0.378148,0.485355,0.357866,0.480340,0.480340,120417
2021-10-05,0.480430,0.499540,0.362693,0.381415,0.381415,123656
2021-10-06,0.381611,0.499843,0.370382,0.491205,0.491205,156272
2021-10-07,0.490898,0.490898,0.372831,0.379122,0.379122,139369
2021-10-08,0.379511,0.491626,0.378968,0.384022,0.384022,132521
2021-10-09,0.383750,0.515027,0.380832,0.409040,0.409040,138272
2021-10-10,0.409118,0.509877,0.407298,0.464748,0.464748,117218
2021-10-11,0.464471,0.504151,0.403157,0.497222,0.497222,142636
2021-10-12,0.497673,0.503091,0.448491,0.478043,0.478043,131071
2021-10-13,0.477712,0.511006,0.438171,0.510252,0.510252,145060
2021-10-14,0.510568,0.545431,0.410470,0.412158,0.412158,151862
2021-10-15,0.412093,0.529405,0.412093,0.497129,0.497129,172916
2021-10-16,0.496589,0.547222,0.467797,0.545232,0.545232,148912
2021-10-17,0.545071,0.564185,0.462158,0.520796,0.520796,133003
2021-10-18,0.520476,0.553683,0.494132,0.552081,0.552081,96299
2021-10-19,0.552125,0.604344,0.546985,0.577059,0.577059,85337
2021-10-20,0.577085,0.578285,0.467629,0.491471,0.491471,175231
2021-10-21,0.491504,0.493939,0.454855,0.475289,0.475289,164071
2021-10-22,0.475134,0.522322,0.463638,0.471065,0.471065,138695
2021-10-23,0.471057,0.509818,0.467300,0.509818,0.509818,118858
2021-10-24,0.510032,0.510032,0.476484,0.478002,0.478002,116340
2021-10-25,0.477707,0.520223,0.476240,0.497166,0.497166,129350
2021-10-26,0.497339,0.541483,0.458453,0.495692,0.495692,114742
2021-10-27,0.495602,0.497894,0.325980,0.389125,0.389125,250498
2021-10-28,0.388783,0.502366,0.368569,0.482639,0.482639,169886
2021-10-29,0.482578,0.510525,0.451877,0.506733,0.506733,140348
2021-10-30,0.506577,0.561095,0.299133,0.306561,0.306561,128389
2021-10-31,0.306958,0.505685,0.306958,0.426786,0.426786,129232
2021-11-01,0.426912,0.467143,0.282430,0.358834,0.358834,158806
2021-11-02,0.358462,0.438462,0.305437,0.385761,0.385761,156817
2021-11-03,0.385686,0.501899,0.330152,0.442774,0.442774,168191
2021-11-04,0.443120,0.486634,0.317898,0.341514,0.341514,137322
2021-11-05,0.341382,0.407215,0.332258,0.372025,0.372025,157109
2021-11-06,0.372357,0.415647,0.263509,0.338855,0.338855,146653
2021-11-07,0.339013,0.342238,0.293041,0.308779,0.308779,111106
2021-11-08,0.308870,0.376150,0.305645,0.355885,0.355885,289532
2021-11-09,0.355831,0.381270,0.355831,0.369144,0.369144,382077
2021-11-10,0.368458,2.038326,0.307994,0.308951,0.308951,384588
2021-11-11,0.309131,0.360530,0.262901,0.291249,0.291249,176914
2021-11-12,0.291815,0.320214,0.261460,0.299258,0.299258,102005
2021-11-13,0.298957,0.325312,0.267747,0.324164,0.324164,99863
2021-11-14,0.324153,0.329442,0.276392,0.313380,0.313380,90760
2021-11-15,0.313304,0.322723,0.301025,0.302530,0.302530,107975
2021-11-16,0.302144,0.318850,0.232053,0.259498,0.259498,159343
2021-11-17,0.259176,0.265766,0.215656,0.261586,0.261586,134480
2021-11-18,0.261499,0.268653,0.214218,0.216573,0.216573,129678
2021-11-19,0.216622,0.266361,0.213794,0.264179,0.264179,139046
2021-11-20,0.264070,0.267186,0.239934,0.251753,0.251753,134557
2021-11-21,0.251892,0.256605,0.233573,0.244196,0.244196,120519
2021-11-22,0.244941,0.250264,0.211079,0.225814,0.225814,112452
2021-11-23,0.225761,0.247890,0.223866,0.245946,0.245946,129503
2021-11-24,0.245782,0.250785,0.218881,0.240071,0.240071,121794
2021-11-25,0.247368,0.250987,0.233757,0.237518,0.237518,107088
2021-11-26,0.243759,0.250780,0.212078,0.218686,0.218686,166307
2021-11-27,0.218742,0.240365,0.218742,0.231856,0.231856,93637
2021-11-28,0.232397,0.232565,0.164479,0.198528,0.198528,126019
2021-11-29,0.198806,0.234581,0.192012,0.221380,0.221380,118270
2021-11-30,0.221622,0.247568,0.183031,0.196081,0.196081,110296
2021-12-01,0.195557,0.253487,0.193061,0.236454,0.236454,134363
2021-12-02,0.236734,0.237611,0.161790,0.218036,0.218036,115797
2021-12-03,0.217956,0.230642,0.184639,0.209585,0.209585,119742
2021-12-04,0.209454,0.221022,0.166339,0.178715,0.178715,208828
2021-12-05,0.178765,0.209880,0.176433,0.179028,0.179028,117725
2021-12-06,0.179597,0.207088,0.167999,0.176067,0.176067,126216
2021-12-07,0.176272,0.203259,0.169538,0.185411,0.185411,127307
2021-12-08,0.185270,0.188980,0.176794,0.181796,0.181796,128272
2021-12-09,0.182265,0.189076,0.166482,0.172558,0.172558,129867
2021-12-10,0.172381,0.179527,0.165566,0.171509,0.171509,107601
2021-12-11,0.171218,0.179760,0.164358,0.167153,0.167153,96238
2021-12-12,0.166916,0.182027,0.164352,0.173293,0.173293,95062
2021-12-13,0.173318,0.175261,0.124148,0.164049,0.164049,106126
2021-12-14,0.163762,0.164302,0.127988,0.144816,0.144816,98065
2021-12-15,0.148117,0.160717,0.128006,0.141979,0.141979,119619
2021-12-16,0.141895,0.156111,0.132119,0.145453,0.145453,86995
2021-12-17,0.145565,0.146684,0.131495,0.141844,0.141844,99736
2021-12-18,0.141558,0.146146,0.135237,0.141007,0.141007,70156
2021-12-19,0.141034,0.142038,0.136365,0.140449,0.140449,112694
2021-12-20,0.140679,0.144273,0.132297,0.144220,0.144220,105465
2021-12-21,0.144157,0.147415,0.137743,0.145516,0.145516,104561
2021-12-22,0.145577,0.146297,0.137290,0.139099,0.139099,106744
2021-12-23,0.139063,0.154941,0.137303,0.151052,0.151052,100707
2021-12-24,0.150883,0.152451,0.142244,0.145581,0.145581,103287
2021-12-25,0.145462,0.176529,0.139248,0.147138,0.147138,101175
2021-12-26,0.146953,0.154001,0.106193,0.133015,0.133015,110518
2021-12-27,0.133113,0.163819,0.121409,0.149098,0.149098,98319
2021-12-28,0.148856,0.159068,0.135638,0.139948,0.139948,115408
2021-12-29,0.139852,0.152290,0.128617,0.141880,0.141880,87876
2021-12-30,0.141693,0.147670,0.120621,0.136677,0.136677,76685
2021-12-31,0.136648,0.137987,0.115339,0.135204,0.135204,88371
2022-01-01,0.135219,0.150131,0.112808,0.122438,0.122438,91434
2022-01-02,0.122421,0.141066,0.114777,0.121262,0.121262,102481
2022-01-03,0.121261,0.147475,0.115927,0.146273,0.146273,74133
2022-01-04,0.146274,0.150982,0.113575,0.116955,0.116955,82596
2022-01-05,0.116961,0.121042,0.108817,0.110536,0.110536,90655
2022-01-06,0.110521,0.122798,0.095335,0.120466,0.120466,95342
2022-01-07,0.120466,0.120739,0.090643,0.100008,0.100008,123306
2022-01-08,0.099991,0.121306,0.087062,0.096024,0.096024,77868
2022-01-09,0.096040,0.146447,0.087240,0.144977,0.144977,81396
2022-01-10,0.144973,0.146018,0.082238,0.092182,0.092182,89429
2022-01-11,0.135331,0.139498,0.083699,0.090906,0.090906,88272
2022-01-12,0.090917,0.145982,0.086636,0.145306,0.145306,78369
2022-01-13,0.140904,0.144376,0.085800,0.095004,0.095004,72294
2022-01-14,0.095016,0.095082,0.067694,0.090056,0.090056,87780
2022-01-15,0.090055,0.113609,0.082843,0.111254,0.111254,85476
2022-01-16,0.111254,0.112215,0.087903,0.093917,0.093917,59046
2022-01-17,0.093921,0.138242,0.076879,0.137653,0.137653,129436
2022-01-18,0.137652,0.140962,0.093832,0.113456,0.113456,114589
2022-01-19,0.113411,0.139612,0.084751,0.115041,0.115041,89347
2022-01-20,0.115014,0.126097,0.072508,0.120263,0.120263,78128
2022-01-21,0.120328,0.139535,0.076150,0.098572,0.098572,58518
2022-01-22,0.098618,0.123386,0.064363,0.071604,0.071604,55540
2022-01-23,0.071640,0.123477,0.063505,0.067978,0.067978,49318
2022-01-24,0.067977,0.117469,0.061290,0.079617,0.079617,58318
2022-01-25,0.079618,0.105033,0.062835,0.073051,0.073051,54394
2022-01-26,0.073044,0.104036,0.039342,0.040132,0.040132,48139
2022-01-27,0.040121,0.047962,0.035982,0.036301,0.036301,53781
2022-01-28,0.036284,0.045080,0.036284,0.042632,0.042632,54242
2022-01-29,0.042625,0.044873,0.032365,0.038717,0.038717,57798
2022-01-30,0.038737,0.044411,0.031652,0.032387,0.032387,57552
2022-01-31,0.032386,0.042316,0.030013,0.037221,0.037221,69592
2022-02-01,0.037217,0.044628,0.031863,0.040104,0.040104,53198
2022-02-02,0.040103,0.045120,0.030778,0.032799,0.032799,70959
2022-02-03,0.032792,0.042327,0.029959,0.034702,0.034702,41944
2022-02-04,0.034720,0.056063,0.031231,0.039716,0.039716,47306
2022-02-05,0.039720,0.050060,0.034117,0.043894,0.043894,47192
2022-02-06,0.043901,0.051853,0.035741,0.042388,0.042388,55847
2022-02-07,0.042385,0.052606,0.037889,0.052032,0.052032,65736
2022-02-08,0.052043,0.053533,0.038569,0.046688,0.046688,80004
2022-02-09,0.046666,0.052725,0.040455,0.051639,0.051639,74293
2022-02-10,0.051650,0.051701,0.037408,0.046552,0.046552,65577
2022-02-11,0.046553,0.063109,0.039256,0.052280,0.052280,68894
2022-02-12,0.052281,0.052281,0.036354,0.048566,0.048566,71565
2022-02-13,0.048557,0.050810,0.037264,0.048492,0.048492,59232
2022-02-14,0.048441,0.051089,0.035838,0.039568,0.039568,51395
2022-02-15,0.039572,0.063404,0.031735,0.054090,0.054090,75176
2022-02-16,0.054096,0.108232,0.032030,0.032264,0.032264,72697
2022-02-17,0.032252,0.067330,0.031967,0.038538,0.038538,60655
2022-02-18,0.038568,0.056446,0.032014,0.045852,0.045852,81172
2022-02-19,0.045840,0.054664,0.034875,0.040095,0.040095,59310
2022-02-20,0.040094,0.048787,0.028742,0.041041,0.041041,57368
2022-02-21,0.041028,0.060077,0.031077,0.043804,0.043804,77459
2022-02-22,0.043790,0.052446,0.030408,0.049081,0.049081,51299
2022-02-23,0.049082,0.050177,0.037169,0.044068,0.044068,52437
2022-02-24,0.044037,0.047626,0.028270,0.047625,0.047625,59700
2022-02-25,0.047629,0.048073,0.031614,0.039902,0.039902,61572
2022-02-26,0.039906,0.050694,0.029513,0.048357,0.048357,55572
2022-02-27,0.048347,0.048381,0.026447,0.027810,0.027810,62906
2022-02-28,0.027804,0.045502,0.027622,0.039958,0.039958,62801
2022-03-01,0.039963,0.046481,0.033282,0.037272,0.037272,65786
2022-03-02,0.037273,0.050089,0.033022,0.034559,0.034559,62798
2022-03-03,0.034560,0.045808,0.030891,0.038017,0.038017,60007
2022-03-04,0.038023,0.046211,0.027865,0.027928,0.027928,69692
2022-03-05,0.027941,0.043501,0.027638,0.031655,0.031655,56337
2022-03-06,0.031657,0.043597,0.030997,0.041678,0.041678,52217
2022-03-07,0.041683,0.041683,0.030128,0.030129,0.030129,46985
2022-03-08,0.030128,0.038383,0.029395,0.029704,0.029704,53764
2022-03-09,0.029708,0.043534,0.029672,0.041311,0.041311,55564
2022-03-10,0.041301,0.041742,0.029703,0.034879,0.034879,51327
2022-03-11,0.034882,0.038090,0.028202,0.036064,0.036064,59336
2022-03-12,0.036065,0.037188,0.028489,0.033421,0.033421,70037
2022-03-13,0.033405,0.035060,0.029932,0.030229,0.030229,59169
2022-03-14,0.030224,0.036595,0.029461,0.035080,0.035080,60112
2022-03-15,0.035079,0.037388,0.030277,0.031691,0.031691,64490
2022-03-16,0.031689,0.037189,0.030826,0.033628,0.033628,40860
2022-03-17,0.033626,0.038305,0.032893,0.037254,0.037254,59886
2022-03-18,0.037249,0.039872,0.034078,0.038626,0.038626,44886
2022-03-19,0.038618,0.040875,0.034663,0.037623,0.037623,49186
2022-03-20,0.037626,0.040328,0.034051,0.039213,0.039213,55482
2022-03-21,0.039210,0.039554,0.031487,0.038079,0.038079,47767
2022-03-22,0.038076,0.041745,0.032610,0.034389,0.034389,56365
2022-03-23,0.034390,0.041218,0.032319,0.039745,0.039745,60367
2022-03-24,0.039743,0.041390,0.032469,0.037927,0.037927,57821
