Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.034900,0.035349,0.028098,0.029793,0.029793,8755175
2021-08-23,0.029790,0.031631,0.028157,0.029353,0.029353,6042413
2021-08-24,0.029369,0.029384,0.026493,0.027054,0.027054,6571678
2021-08-25,0.027136,0.042203,0.026537,0.035814,0.035814,10307795
2021-08-26,0.035804,0.042023,0.032903,0.041354,0.041354,11284382
2021-08-27,0.041322,0.041503,0.035782,0.037963,0.037963,7572669
2021-08-28,0.037942,0.041692,0.036160,0.037564,0.037564,6436564
2021-08-29,0.037565,0.038721,0.034060,0.035013,0.035013,5362726
2021-08-30,0.035015,0.035716,0.031389,0.031483,0.031483,9372632
2021-08-31,0.031481,0.036724,0.031034,0.033443,0.033443,8043934
2021-09-01,0.033447,0.036082,0.033054,0.034782,0.034782,8849270
2021-09-02,0.034788,0.034791,0.031138,0.032102,0.032102,9654276
2021-09-03,0.032098,0.033171,0.030899,0.031349,0.031349,6713745
2021-09-04,0.031274,0.032264,0.029915,0.031656,0.031656,9161521
2021-09-05,0.031651,0.032049,0.029493,0.031660,0.031660,6352841
2021-09-06,0.031658,0.036950,0.030831,0.036107,0.036107,10181755
2021-09-07,0.036101,0.036101,0.027068,0.029809,0.029809,9740621
2021-09-08,0.029804,0.029822,0.026741,0.027909,0.027909,11024807
2021-09-09,0.027840,0.031374,0.026815,0.029993,0.029993,11586733
2021-09-10,0.029993,0.030270,0.025713,0.026365,0.026365,7076591
2021-09-11,0.026364,0.027728,0.025566,0.027393,0.027393,9890087
2021-09-12,0.027394,0.028177,0.025320,0.026149,0.026149,6605425
2021-09-13,0.026150,0.026246,0.023515,0.023821,0.023821,5350493
2021-09-14,0.023811,0.025678,0.022997,0.024813,0.024813,5990161
2021-09-15,0.024822,0.029814,0.024097,0.026284,0.026284,5939158
2021-09-16,0.026289,0.034097,0.025192,0.030952,0.030952,6084056
2021-09-17,0.030956,0.042619,0.029118,0.039536,0.039536,9122434
2021-09-18,0.039540,0.058230,0.039105,0.046621,0.046621,10394670
2021-09-19,0.047206,0.054382,0.043621,0.047676,0.047676,12046596
2021-09-20,0.047531,0.051163,0.038655,0.040930,0.040930,9040661
2021-09-21,0.040925,0.050984,0.039965,0.041183,0.041183,9261545
2021-09-22,0.041185,0.047443,0.039918,0.040485,0.040485,9395583
2021-09-23,0.040510,0.048089,0.039308,0.045750,0.045750,8331795
2021-09-24,0.045752,0.047931,0.038434,0.039278,0.039278,8745714
2021-09-25,0.039278,0.041947,0.036372,0.037264,0.037264,7417055
2021-09-26,0.037266,0.037354,0.030083,0.033397,0.033397,7131644
2021-09-27,0.033399,0.040031,0.031563,0.031759,0.031759,8750553
2021-09-28,0.031761,0.032963,0.027046,0.028995,0.028995,5672283
2021-09-29,0.028993,0.029782,0.026447,0.026676,0.026676,5038146
2021-09-30,0.026668,0.029260,0.026416,0.029239,0.029239,4821787
2021-10-01,0.029253,0.032845,0.028432,0.030425,0.030425,4967073
2021-10-02,0.030427,0.032472,0.028668,0.030120,0.030120,6319600
2021-10-03,0.030115,0.030349,0.029034,0.029309,0.029309,4050714
2021-10-04,0.029306,0.029370,0.027054,0.027201,0.027201,4740641
2021-10-05,0.027207,0.029423,0.026695,0.028543,0.028543,5556703
2021-10-06,0.028535,0.029098,0.025934,0.026678,0.026678,5261018
2021-10-07,0.026672,0.027178,0.025752,0.026594,0.026594,5492471
2021-10-08,0.026594,0.028379,0.026493,0.028370,0.028370,5104209
2021-10-09,0.028360,0.028362,0.026440,0.027309,0.027309,4966735
2021-10-10,0.027306,0.027619,0.026478,0.027179,0.027179,3269818
2021-10-11,0.027182,0.027988,0.026454,0.026501,0.026501,3762977
2021-10-12,0.026503,0.032109,0.025909,0.030323,0.030323,5906226
2021-10-13,0.030321,0.032680,0.028717,0.029105,0.029105,5917964
2021-10-14,0.029104,0.029868,0.028105,0.028317,0.028317,4896322
2021-10-15,0.028234,0.032634,0.028030,0.031412,0.031412,5083373
2021-10-16,0.031412,0.036379,0.029881,0.035825,0.035825,5858478
2021-10-17,0.035811,0.036713,0.032442,0.034098,0.034098,7504943
2021-10-18,0.034087,0.041324,0.033541,0.041310,0.041310,7304243
2021-10-19,0.041129,0.042254,0.032056,0.033204,0.033204,9325390
2021-10-20,0.033354,0.034497,0.030121,0.031214,0.031214,6255041
2021-10-21,0.031217,0.032006,0.029495,0.029866,0.029866,5225352
2021-10-22,0.029865,0.031247,0.027965,0.028427,0.028427,5153355
2021-10-23,0.028380,0.029642,0.027456,0.029352,0.029352,3836888
2021-10-24,0.029350,0.030753,0.028259,0.028683,0.028683,3830174
2021-10-25,0.028681,0.030382,0.028259,0.029874,0.029874,4346808
2021-10-26,0.029856,0.029974,0.028367,0.029416,0.029416,4427843
2021-10-27,0.029417,0.029479,0.025384,0.026056,0.026056,5103315
2021-10-28,0.026056,0.026755,0.025217,0.025648,0.025648,5289254
2021-10-29,0.025649,0.027265,0.024787,0.025793,0.025793,4853845
2021-10-30,0.025794,0.027543,0.024951,0.025572,0.025572,4748624
