Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.057012,0.057683,0.055404,0.057576,0.057576,54257
2021-08-23,0.057426,0.063015,0.056834,0.058955,0.058955,167133
2021-08-24,0.058958,0.061459,0.058521,0.059448,0.059448,73283
2021-08-25,0.059434,0.060506,0.057169,0.058901,0.058901,72076
2021-08-26,0.058906,0.059442,0.057095,0.057298,0.057298,27241
2021-08-27,0.057299,0.059566,0.057119,0.057928,0.057928,43658
2021-08-28,0.057931,0.058430,0.057056,0.057204,0.057204,27189
2021-08-29,0.057205,0.058783,0.056840,0.058026,0.058026,44618
2021-08-30,0.058022,0.058555,0.055478,0.055707,0.055707,88123
2021-08-31,0.055710,0.056448,0.053998,0.053998,0.053998,40764
2021-09-01,0.054001,0.056372,0.053318,0.055884,0.055884,171511
2021-09-02,0.055514,0.058169,0.055506,0.056691,0.056691,140100
2021-09-03,0.056683,0.057500,0.054477,0.056782,0.056782,145151
2021-09-04,0.056492,0.056806,0.054132,0.055311,0.055311,151648
2021-09-05,0.055302,0.055857,0.053984,0.054066,0.054066,53426
2021-09-06,0.054049,0.055982,0.053001,0.054050,0.054050,87955
2021-09-07,0.054299,0.054959,0.047454,0.047723,0.047723,58332
2021-09-08,0.047826,0.050137,0.047268,0.049252,0.049252,111705
2021-09-09,0.048961,0.050266,0.047763,0.049299,0.049299,76662
2021-09-10,0.049299,0.050974,0.047625,0.047839,0.047839,74016
2021-09-11,0.047843,0.050160,0.046476,0.049054,0.049054,58801
2021-09-12,0.049053,0.049069,0.047189,0.047341,0.047341,39971
2021-09-13,0.047339,0.048046,0.045178,0.046201,0.046201,69803
2021-09-14,0.046196,0.046358,0.045266,0.046030,0.046030,100207
2021-09-15,0.046028,0.046272,0.043638,0.044160,0.044160,135778
2021-09-16,0.043972,0.048451,0.043785,0.047984,0.047984,152174
2021-09-17,0.047989,0.049290,0.047068,0.048733,0.048733,206071
2021-09-18,0.048304,0.048746,0.046946,0.046969,0.046969,165404
2021-09-19,0.047326,0.057179,0.046464,0.050300,0.050300,294539
2021-09-20,0.050305,0.050828,0.043433,0.043583,0.043583,51124
2021-09-21,0.043574,0.043617,0.040570,0.040712,0.040712,12553
2021-09-22,0.040756,0.041672,0.040475,0.040994,0.040994,8297
2021-09-23,0.040991,0.041968,0.040177,0.040853,0.040853,8382
2021-09-24,0.040851,0.041148,0.038174,0.038222,0.038222,12621
2021-09-25,0.038223,0.038455,0.037424,0.037652,0.037652,6736
2021-09-26,0.037652,0.038003,0.036814,0.037223,0.037223,4348
2021-09-27,0.037216,0.037650,0.035903,0.035909,0.035909,4254
2021-09-28,0.035909,0.036061,0.034879,0.035420,0.035420,21490
2021-09-29,0.035423,0.036202,0.033751,0.034119,0.034119,76448
2021-09-30,0.033912,0.034218,0.032869,0.033622,0.033622,64185
2021-10-01,0.033621,0.034214,0.033174,0.034203,0.034203,73995
2021-10-02,0.034204,0.035068,0.033433,0.034304,0.034304,78017
2021-10-03,0.034298,0.035181,0.033676,0.034624,0.034624,87138
2021-10-04,0.034622,0.035043,0.031645,0.032876,0.032876,76252
